"ISO3","Year","Arrangement.Number","Country.Name","MONA.Code","Arrangement.Type","Approval.date","Initial.End.Date","Initial.End.Year","Revised.End.Date","Duration.Of.Annual.Arrangement.From","Duration.Of.Annual.Arrangement.To","Board.Action.Date","Program.Type","Review.Type","Review.Status","Key.Code","Economic.Code","Economic.Descriptor","Description","Description.Code","Test.Date","PC.Status","Comments","Sort","EsOrder","NewTestDate","Added.At","Assessed.At","Unique.ID","Parent.ID","XDebtGNI","DebtServGNI","ResXDebt","FuelExportPct","MineralExportPct","Rohstoffabhängigkeit","unsc","unsc_t1","unsc3"
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",20.6,"1.6. Expenditure auditing, accounting, and financial controls","Establish a timeline for the transition of fiscal reporting into the GFS14 framework.",5,"09/30/2016","M","Introduced at R5. Met at R6 for PSI (R1 for SCF).",10,5,"30-Sep-16",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",20.6,"1.6. Expenditure auditing, accounting, and financial controls","Design a strategy to incorporate fiscal risks and foreign exchange needs into project planning assessments, starting with PPPs.",6,"06/30/2017","M","Introduced at R5.",10,6,"30-Jun-17",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",20.2,"1.2. Revenue administration, including customs","Implement plan for better enforcement of tax payer compliance.",1,"06/30/2014","M","Introduced at R0. Macroeconomic rationale: to enhance revenue mobilization.",10,1,"30-Jun-14",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",20.1,"1.1. Revenue measures, excluding trade policy","Submit to Parliament revised legislation on fixed asset tax.",12,"11/30/2017","M","Reset test date at R7.",10,12,"30-Nov-17",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",20.1,"1.1. Revenue measures, excluding trade policy","Initiate the rollout of ""EBM for all"" pilot, with the intent of reaching 10,000 taxpayers within one year.",13,"10/31/2017","M","Introduced at R1 of SCF.",10,13,"31-Oct-17",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",20.1,"1.1. Revenue measures, excluding trade policy","Prepare legislative proposal for new tax regime for agriculture.",8,"12/31/2014","MOD-DATE","Introduced at R0. Macroeconomic rationale: to enhance revenue mobilization. At R2, new test date of end-December 2015.",10,8,"31-Dec-14",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",20.1,"1.1. Revenue measures, excluding trade policy","Prepare legislative proposal for new tax regime for agriculture.",8,"12/31/2015","MOD-SB","At R2, new test date. At R3, split into 2 benchmarks -- 1. ""Prepare study on new tax regime for agriculture."" with test date of end-Dec. 2015; and 2. same text as original benchmark but with end-June 2016 test date.",10,8,"31-Dec-15",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",20.3,"1.3. Expenditure measures, including arrears clearance","Submit revised National Investment Policy to Cabinet.",1,"03/31/2017","MD","Reset test date at R6. At R7, not met, completed in April 2017.",10,1,"31-Mar-17",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",20.6,"1.6. Expenditure auditing, accounting, and financial controls","Pilot the extension of IFMIS to 20 development projects.",1,"06/30/2014","M","Introduced at R0. Macroeconomic rationale: to strengthen budget execution and controls.",10,1,"30-Jun-14",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",20.6,"1.6. Expenditure auditing, accounting, and financial controls","Share IPSAS roadmap which includes government accounting policy for fixed assets is developed and implemented.",2,"06/30/2016","MOD-SB","Introduced at R4. Macroeconomic rationale: To improve accountability and help Rwanda attain the EAMU fiscal reporting convergence. At R5, text of condition is revised to ""Develop and implement IPSAS roadmap...""",10,2,"30-Jun-16",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
