"programnr","Arrangement.Number","Country.Name","MONA.Code","ISO3","Approval.Year","arrtype_group","nrquarters","approvaldate","nrcondtype_pc","nrcondtype_pa","nrcondtype_sb","nrcondtype_all","avgcondtype_all","avgcondtype_pc","avgcondtype_pa","avgcondtype_sb"
51,553,"CHAD",628,"TCD",2005,"PRGF",13,"2005-02-16",3,5,3,11,0.846153846153846,0.230769230769231,0.384615384615385,0.230769230769231
57,559,"MALAWI",676,"MWI",2005,"PRGF",12,"2005-08-05",27,16,68,111,9.25,2.25,1.33333333333333,5.66666666666667
58,560,"BENIN",638,"BEN",2005,"PRGF",12,"2005-08-05",7,20,36,63,5.25,0.583333333333333,1.66666666666667,3
58,560,"BENIN",638,"BEN",2005,"PRGF",16,"2005-08-05",12,36,89,137,8.5625,0.75,2.25,5.5625
59,561,"SAO TOME AND PRINCIPE",716,"STP",2005,"PRGF",12,"2005-08-01",44,29,147,220,18.3333333333333,3.66666666666667,2.41666666666667,12.25
61,563,"CAMEROON",622,"CMR",2005,"PRGF",12,"2005-10-24",37,0,168,205,17.0833333333333,3.08333333333333,0,14
61,563,"CAMEROON",622,"CMR",2005,"PRGF",13,"2005-10-24",22,0,120,142,10.9230769230769,1.69230769230769,0,9.23076923076923
62,564,"IRAQ",433,"IRQ",2005,"EFF_SBA",5,"2005-12-23",8,5,16,29,5.8,1.6,1,3.2
62,564,"IRAQ",433,"IRQ",2005,"EFF_SBA",7,"2005-12-23",9,6,14,29,4.14285714285714,1.28571428571429,0.857142857142857,2
62,564,"IRAQ",433,"IRQ",2005,"EFF_SBA",8,"2005-12-23",11,6,14,31,3.875,1.375,0.75,1.75
66,569,"RWANDA",714,"RWA",2006,"PRGF",12,"2006-06-05",27,15,77,119,9.91666666666667,2.25,1.25,6.41666666666667
66,569,"RWANDA",714,"RWA",2006,"PRGF",13,"2006-06-05",6,3,16,25,1.92307692307692,0.461538461538462,0.230769230769231,1.23076923076923
68,571,"MADAGASCAR",674,"MDG",2006,"PRGF",12,"2006-07-21",55,28,60,143,11.9166666666667,4.58333333333333,2.33333333333333,5
70,573,"SIERRA LEONE",724,"SLE",2006,"PRGF",12,"2006-05-10",7,21,10,38,3.16666666666667,0.583333333333333,1.75,0.833333333333333
70,573,"SIERRA LEONE",724,"SLE",2006,"PRGF",16,"2006-05-10",46,68,70,184,11.5,2.875,4.25,4.375
70,573,"SIERRA LEONE",724,"SLE",2006,"PRGF",17,"2006-05-10",13,18,24,55,3.23529411764706,0.764705882352941,1.05882352941176,1.41176470588235
71,574,"MAURITANIA",682,"MRT",2006,"PRGF",12,"2006-12-18",14,4,29,47,3.91666666666667,1.16666666666667,0.333333333333333,2.41666666666667
72,575,"CENTRAL AFRICAN REPUBLIC",626,"CAF",2006,"PRGF",12,"2006-12-22",37,9,27,73,6.08333333333333,3.08333333333333,0.75,2.25
72,575,"CENTRAL AFRICAN REPUBLIC",626,"CAF",2006,"PRGF",14,"2006-12-22",24,9,46,79,5.64285714285714,1.71428571428571,0.642857142857143,3.28571428571429
72,575,"CENTRAL AFRICAN REPUBLIC",626,"CAF",2006,"PRGF",16,"2006-12-22",12,6,27,45,2.8125,0.75,0.375,1.6875
