orgorder	strucperf	arrnum	countryname	arrtype	approvaldate	initialenddate	actualenddate	boardactdate	dqpccode	dqpc	dqpcnote	testdate	revstatus	comments	units	programamt	actualamt	programtype	reviewtype
P010800001	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	16	Credit to Government/public sector		09.21.2006	M	The QC is a ceiling on net central bank financing of the government	NC (billions)	9.042	-0.501	P1	R3
P010800002	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	16	Credit to Government/public sector		03.20.2007	M	Introduced at P1R0 as an indicative target which will be converted to a performance criteria at P1R1.	NC (billions)	1.242	1.391	P1	R3
P010800003	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	16	Credit to Government/public sector		09.22.2007	M	 Introduced at P1R1 as an indicative target which will be converted to a performance criteria at P1R2. At P1R3, test date revised to 9/22/07 instead of 9/21, due to solar calendar calculations. 	NC (billions)	2.794	-4.929	P1	R3
P010800004	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	16	Credit to Government/public sector		03.20.2008	PC	Introduced at P1R2 as an indicative target which will be converted to a performance criteria at P1R3.	NC (billions)	4.703		P1	R3
P010800005	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	16	Credit to Government/public sector		09.21.2008	PC	Introduced at P1R3 as an indicative target which will be converted to a performance criteria at P1R4.	NC (billions)	0.724		P1	R3
P010800006	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	32	BOP/Reserve Test		09.21.2006	M		US$ (billions)	-0.1986	0.0989	P1	R3
P010800007	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	32	BOP/Reserve Test		03.20.2007	M	Introduced at P1R0 as an indicative target which will be converted to a performance criteria at P1R1.	US$(billions)	-0.0685	0.214	P1	R3
P010800008	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	32	BOP/Reserve Test		09.22.2007	M	 Introduced at P1R1 as an indicative target which will be converted to a performance criteria at P1R2. At P1R3, test date revised to 9/22/07 instead of 9/21, due to solar calendar calculations. 	US$(billions)	-8.7	0.3	P1	R3
P010800009	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	32	BOP/Reserve Test		03.20.2008	PC	Introduced at P1R2 as an indicative target which will be converted to a performance criteria at P1R3.	US$(billions)	0.0721		P1	R3
P010800010	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	32	BOP/Reserve Test		09.21.2008	PC	Introduced at P1R3 as an indicative target which will be converted to a performance criteria at P1R4.	US$(billions)	0.1272		P1	R3
P010800011	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	47	Medium /Long Term External Debt		Continuous	PC		US$ (billions)	0		P1	R3
P010800012	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	47	Medium /Long Term External Debt		09.21.2006	M	Met for P1R1.	US$(billions)	0	0	P1	R3
P010800013	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	47	Medium /Long Term External Debt		03.20.2007	M	Met for P1R2.	US$(billions)	0	0	P1	R3
P010800014	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	47	Medium /Long Term External Debt		09.22.2007	M	At P1R3, test date revised to 9/22/07 instead of 9/21, due to solar calendar calculations. Met for P1R3.	US$(billions)	0	0	P1	R3
P010800015	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	84	Short term Debt		Continuous	PC		US$ (billions)	0		P1	R3
P010800016	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	84	Short term Debt		09.21.2006	M	Met for P1R1.	US$(billions)	0	0	P1	R3
P010800017	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	84	Short term Debt		03.20.2007	M	Met for P1R2.	US$(billions)	0	0	P1	R3
P010800018	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	84	Short term Debt		09.22.2007	M	At P1R3, test date revised to 9/22/07 instead of 9/21, due to solar calendar calculations. Met for P1R3.	US$(billions)	0	0	P1	R3
P010800019	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	107	No New arrears/default(continuous injunction)		Continuous	PC		US$(billions)	0		P1	R3
P010800020	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	107	No New arrears/default(continuous injunction)		09.21.2006	M	Met for P1R1.	US$(billions)	0	0	P1	R3
P010800021	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	107	No New arrears/default(continuous injunction)		03.20.2007	M	Met for P1R2.	US$(billions)	0	0	P1	R3
P010800022	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	107	No New arrears/default(continuous injunction)		09.22.2007	PC	At P1R3, test date revised to 9/22/07 instead of 9/21, due to solar calendar calculations. Met for P1R3.	US$(billions)	0	0	P1	R3
P010800023	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	135	Fiscal deficit		09.21.2006	PC		NC (billions)	0.912		P1	R3
P010800024	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	10.5	Monetary statistics	Ceiling on currency in circulation	09.21.2006	M		NC (millions)	5587	3063	P1	R3
P010800025	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	7.1	Revenues	Floor on Fiscal Revenue of the government	09.22.2007	M		NC (millions)	15665	15501	P1	R3
P010800026	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	5	Public enterprises, reform and restructuring	Zero ceiling on lending from state-owned banks to enterprises in need of restructuring or government guaranteering borrowing by these enterprises.	03.20.2008	PC		NC (millions)	0		P1	R3
P010800027	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	5	Public enterprises, reform and restructuring	Zero ceiling on lending from state-owned banks to enterprises in need of restructuring or government guaranteering borrowing by these enterprises.	09.22.2007	M		NC (millions)	0	0	P1	R3
P010800028	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	10.5	Monetary statistics	Ceiling on currency in circulation	09.22.2007	M		NC (millions)	3878	4137	P1	R3
P010800029	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	7.1	Revenues	Floor on Fiscal Revenue of the government	03.20.2007	M		NC (millions)	26595	28788	P1	R3
P010800030	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	5	Public enterprises, reform and restructuring	Zero ceiling on lending from state-owned banks to enterprises in need of restructuring or government guaranteering borrowing by these enterprises.	09.21.2008	PC		NC (millions)	0		P1	R3
P010800031	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	7.1	Revenues	Floor on Fiscal Revenue of the government	09.21.2008	PC		NC (billions)	20983		P1	R3
P010800032	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	10.5	Monetary statistics	Ceiling on currency in circulation	09.21.2008	PC		NC (millions)	5798		P1	R3
P010800033	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	7.1	Revenues	Floor on Fiscal Revenue of the government	09.21.2006	M		NC (millions)	10636	11990	P1	R3
P010800034	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	10.5	Monetary statistics	Ceiling on currency in circulation	03.20.2007	M		NC (millions)	8233	5548	P1	R3
P010800035	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	10.5	Monetary statistics	Ceiling on currency in circulation	03.20.2008	PC		NC (millions)	9435		P1	R3
P010800036	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	7.1	Revenues	Floor on Fiscal Revenue of the government	03.20.2008	PC		NC (millions)	35721		P1	R3
P010800037	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	1	Total domestic credit		09.30.2002	M		NC (billions)	12	5	P1	R5
P010800038	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	1	Total domestic credit		03.31.2003	M		NC (billions)	19	-11.1	P1	R5
P010800039	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	1	Total domestic credit		09.30.2003	M		NC (billions)	2	-14	P1	R5
P010800040	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	1	Total domestic credit		03.31.2004	M		NC (billions)	-7	-24	P1	R5
P010800041	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	1	Total domestic credit		09.30.2004	M		NC (billions)	2	-17	P1	R5
P010800042	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	1	Total domestic credit		03.31.2005	PC		NC (billions)	-13		P1	R5
P010800043	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	16	Credit to Government/public sector		09.30.2002	M		NC (billions)	9.5	9.2	P1	R5
P010800044	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	16	Credit to Government/public sector		03.31.2003	M		NC (billions)	5	4.7	P1	R5
P010800045	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	16	Credit to Government/public sector		09.30.2003	M		NC (billions)	16	14	P1	R5
P010800046	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	16	Credit to Government/public sector		03.31.2004	M		NC (billions)	6	6	P1	R5
P010800047	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	16	Credit to Government/public sector		09.30.2004	M		NC (billions)	11	3	P1	R5
P010800048	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	16	Credit to Government/public sector		03.31.2005	PC		NC (billions)	6		P1	R5
P010800049	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	32	BOP/Reserve Test		09.30.2002	M		US$ (billions)	0.004	0.0281	P1	R5
P010800050	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	32	BOP/Reserve Test		03.31.2003	M		US$ (billions)	0.018	0.0531	P1	R5
P010800051	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	32	BOP/Reserve Test		09.30.2003	M		US$ (billions)	0.014	0.052	P1	R5
P010800052	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	32	BOP/Reserve Test		03.31.2004	M		US$ (billions)	0.057	0.104	P1	R5
P010800053	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	32	BOP/Reserve Test		09.30.2004	M		US$ (billions)	0.071	0.212	P1	R5
P010800054	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	32	BOP/Reserve Test		03.31.2005	PC		US$ (billions)	0.24		P1	R5
P010800055	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	47	Medium /Long Term External Debt		09.30.2002	M		US$ (billions)	0.13	0.562	P1	R5
P010800056	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	47	Medium /Long Term External Debt		03.31.2003	M		US$ (billions)	0.17	0.0183	P1	R5
P010800057	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	47	Medium /Long Term External Debt		09.30.2003	M		US$ (billions)	0.1	0.021	P1	R5
P010800058	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	47	Medium /Long Term External Debt		03.31.2004	M		US$ (billions)	0.15	0.02	P1	R5
P010800059	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	47	Medium /Long Term External Debt		09.30.2004	M		US$ (billions)	0.19	0.057	P1	R5
P010800060	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	47	Medium /Long Term External Debt		03.31.2005	PC		US$ (billions)	0.322		P1	R5
P010800061	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	74	Medium/Long term External Debt Subceiling		09.30.2002	M		US$ (billions)	0	0	P1	R5
P010800062	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	74	Medium/Long term External Debt Subceiling		03.31.2003	M		US$ (billions)	0	0	P1	R5
P010800063	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	74	Medium/Long term External Debt Subceiling		09.30.2003	M		US$ (billions)	0	0	P1	R5
P010800064	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	74	Medium/Long term External Debt Subceiling		03.31.2004	M		US$ (billions)	0	0	P1	R5
P010800065	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	74	Medium/Long term External Debt Subceiling		09.30.2004	M		US$ (billions)	0	0	P1	R5
P010800066	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	74	Medium/Long term External Debt Subceiling		03.31.2005	PC		US$ (billions)	0		P1	R5
P010800067	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	84	Short term Debt		09.30.2002	M		US$ (billions)	0	0	P1	R5
P010800068	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	84	Short term Debt		03.31.2003	M		US$ (billions)	0	0	P1	R5
P010800069	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	84	Short term Debt		09.30.2003	M		US$ (billions)	0	0	P1	R5
P010800070	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	84	Short term Debt		03.31.2004	M		US$ (billions)	0	0	P1	R5
P010800071	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	84	Short term Debt		Continuous	PC		US$ (billions)	0		P1	R5
P010800072	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	84	Short term Debt		09.30.2004	M		US$ (billions)	0	0	P1	R5
P010800073	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	107	No New arrears/default(continuous injunction)		09.30.2002	M		US$ (billions)	0	0	P1	R5
P010800074	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	107	No New arrears/default(continuous injunction)		03.31.2003	M		US$ (billions)	0	0	P1	R5
P010800075	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	107	No New arrears/default(continuous injunction)		09.30.2003	M		US$ (billions)	0	0	P1	R5
P010800076	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	107	No New arrears/default(continuous injunction)		03.31.2004	M		US$ (billions)	0	0	P1	R5
P010800077	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	107	No New arrears/default(continuous injunction)		Continuous	PC		US$ (billions)	0	0	P1	R5
P010800078	performance	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	107	No New arrears/default(continuous injunction)		09.30.2004	M		US$ (billions)	0	0	P1	R5
P010800079	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	1	Total domestic credit		03.31.2006	M		NC (billions)	3	-20	P1	R4
P010800080	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	1	Total domestic credit		09.30.2006	M	Programmed amount was 6, not 7.	NC (billions)	7	-6	P1	R4
P010800081	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	1	Total domestic credit		03.31.2007	M		NC (billions)	11.5	-6	P1	R4
P010800082	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	1	Total domestic credit		09.30.2007	M		NC (billions)	16.6	-16.8	P1	R4
P010800083	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	1	Total domestic credit		03.31.2008	PC		NC (billions)	1.7		P1	R4
P010800084	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	1	Total domestic credit		09.30.2008	PC		NC (billions)	6.1		P1	R4
P010800085	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	16	Credit to Government/public sector		03.31.2006	M		NC (billions)	7	-6	P1	R4
P010800086	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	16	Credit to Government/public sector		09.30.2006	M		NC (billions)	18	-10	P1	R4
P010800087	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	16	Credit to Government/public sector		03.31.2007	M		NC (billions)	8	2	P1	R4
P010800088	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	16	Credit to Government/public sector		09.30.2007	M		NC (billions)	22	-12.4	P1	R4
P010800089	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	16	Credit to Government/public sector		03.31.2008	PC		NC (billions)	6.3		P1	R4
P010800090	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	16	Credit to Government/public sector		09.30.2008	PC		NC (billions)	18.9		P1	R4
P010800091	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	32	BOP/Reserve Test		03.31.2006	M		US$ (billions)	0.022	0.12	P1	R4
P010800092	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	32	BOP/Reserve Test		09.30.2006	M		US$ (billions)	0.111	0.125	P1	R4
P010800093	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	32	BOP/Reserve Test		03.31.2007	M		US$(billions)	0.0711	0.2	P1	R4
P010800094	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	32	BOP/Reserve Test		09.30.2007	M		US$(billions)	-0.0249	0.1658	P1	R4
P010800095	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	32	BOP/Reserve Test		03.31.2008	PC		US$(billions)	-0.0586		P1	R4
P010800096	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	32	BOP/Reserve Test		09.30.2008	PC		US$(billions)	0.0309		P1	R4
P010800097	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	47	Medium /Long Term External Debt		03.31.2006	M		Euros (billions)	0.015	0	P1	R4
P010800098	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	47	Medium /Long Term External Debt		09.30.2006	M		Euros (billions)	0.05	0.017	P1	R4
P010800099	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	47	Medium /Long Term External Debt		03.31.2007	M		Euros (billions)	0.18	0.068	P1	R4
P010800100	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	47	Medium /Long Term External Debt		09.30.2007	M		Euros (billions)	0.38	0.18	P1	R4
P010800101	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	47	Medium /Long Term External Debt		03.31.2008	PC		Euros (billions)	0.515		P1	R4
P010800102	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	47	Medium /Long Term External Debt		09.30.2008	PC		Euros (billions)	0.65		P1	R4
P010800103	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	84	Short term Debt		Continuous	PC		Euros (billions)	0		P1	R4
P010800104	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	84	Short term Debt		03.31.2006	M	Met for P1R1.	Euros (billions)	0	0	P1	R4
P010800105	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	84	Short term Debt		09.30.2006	M	Met for P1R2.	Euros (billions)	0	0	P1	R4
P010800106	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	84	Short term Debt		03.31.2007	M	Met for P1R3.	Euros (billions)	0	0	P1	R4
P010800107	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	84	Short term Debt		09.30.2007	M	Met for P1R4.	Euros (billions)	0	0	P1	R4
P010800108	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	107	No New arrears/default(continuous injunction)		Continuous	PC		Euros (billions)	0		P1	R4
P010800109	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	107	No New arrears/default(continuous injunction)		03.31.2006	M	Met for P1R1.	Euros (billions)	0	0	P1	R4
P010800110	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	107	No New arrears/default(continuous injunction)		09.30.2006	M	Met for P1R2.	Euros (billions)	0	0	P1	R4
P010800111	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	107	No New arrears/default(continuous injunction)		03.31.2007	M	Met for P1R3.	Euros (billions)	0	0	P1	R4
P010800112	performance	565	albania	PRGF-EFF	27.01.2006	31.01.2009		28.03.2008	107	No New arrears/default(continuous injunction)		09.30.2007	PC	Met for P1R4.	Euros (billions)	0	0	P1	R4
P010800113	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	1	Total domestic credit		06.30.2005	M	Valued at program exchange rate (500 dram per U.S. dollar)	NC (billions)	-53.8	-56	P1	R6
P010800114	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	1	Total domestic credit		12.31.2005	M	Valued at program exchange rate (500 dram per U.S. dollar). The December 2005 target was adjusted by AMD 10 billion on account of lower-than-expected World Bank project lending.	NC (billions)	-28.1	-42.5	P1	R6
P010800115	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	1	Total domestic credit		06.30.2006	M	In EBS/06/141, June 2006 values are estimated.	NC (billions)	-36.9	-54.2	P1	R6
P010800116	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	1	Total domestic credit		12.31.2006	M		NC (billions)	-15.4	-115.4	P1	R6
P010800117	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	1	Total domestic credit		06.30.2007	M		NC (billions)	-51.9	-78.2	P1	R6
P010800118	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	1	Total domestic credit		12.31.2007	M		NC (billions)	-27.1	-95.5	P1	R6
P010800119	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	16	Credit to Government/public sector		06.30.2005	M		NC (billions)	-17.2	-25.1	P1	R6
P010800120	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	16	Credit to Government/public sector		12.31.2005	M	The December 2005 target was adjusted by AMD 10 billion on account of lower-than-expected World Bank project lending.	NC (billions)	-4.8	5.16	P1	R6
P010800121	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	16	Credit to Government/public sector		06.30.2006	M	In EBS\06\141, June 2006 values are estimated.	NC (billions)	4	-20.7	P1	R6
P010800122	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	16	Credit to Government/public sector		12.31.2006	M		NC (billions)	21.2	-31.8	P1	R6
P010800123	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	16	Credit to Government/public sector		06.30.2007	M		NC (billions)	-28.1	-70.1	P1	R6
P010800124	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	16	Credit to Government/public sector		12.31.2007	M		NC (billions)	-29.6	-54	P1	R6
P010800125	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	32	BOP/Reserve Test		06.30.2005	M		US$ (billions)	379	436.4	P1	R6
P010800126	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	32	BOP/Reserve Test		12.31.2005	M	The December 2005 target was adjusted by AMD 10 billion on account of lower-than-expected World Bank project lending.	US$ (billions)	389.2	458.4	P1	R6
P010800127	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	32	BOP/Reserve Test		06.30.2006	M	In EBS/06/141, June values are estimated.	US$ (billions)	414.4	510.4	P1	R6
P010800128	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	32	BOP/Reserve Test		12.31.2006	M		US$(billions)	542.1	812.2	P1	R6
P010800129	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	32	BOP/Reserve Test		06.30.2007	M		US$(billions)	666.3	990.5	P1	R6
P010800130	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	32	BOP/Reserve Test		12.31.2007	M		US$(billions)	1050.8	1403.7	P1	R6
P010800131	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	47	Medium /Long Term External Debt		06.30.2005	M	Guaranteeing nonconcessional external debt is also covered.	US$ (billions)	0	0	P1	R6
P010800132	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	47	Medium /Long Term External Debt		12.31.2005	M		US$ (billions)	0	0	P1	R6
P010800133	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	47	Medium /Long Term External Debt		06.30.2006	M		US$ (billions)	0	0	P1	R6
P010800134	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	47	Medium /Long Term External Debt		12.31.2006	M	Met for P1R4.	US$(billions)	0	0	P1	R6
P010800135	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	47	Medium /Long Term External Debt		06.30.2007	M		US$(billions)	0	0	P1	R6
P010800136	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	47	Medium /Long Term External Debt		12.31.2007	M	Met for P1R6.	US$(billions)	0	0	P1	R6
P010800137	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	84	Short term Debt		06.30.2005	M	Met for P1R1.	US$(billions)	0	0	P1	R6
P010800138	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	84	Short term Debt		12.31.2005	M	Met for P1R2.	US$(billions)	0	0	P1	R6
P010800139	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	84	Short term Debt		06.30.2006	M	Met for P1R3.	US$(billions)	0	0	P1	R6
P010800140	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	84	Short term Debt		12.31.2006	M	Met for P1R4.	US$(billions)	0	0	P1	R6
P010800141	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	84	Short term Debt		06.30.2007	M		US$(billions)	0	0	P1	R6
P010800142	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	84	Short term Debt		12.31.2007	M	Met for P1R6.	US$(billions)	0	0	P1	R6
P010800143	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	114	Ceiling on External Arrears		Continuous	PC		US$ (billions)	0		P1	R6
P010800144	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	114	Ceiling on External Arrears		06.30.2005	M	Met for P1R1.	US$ (billions)	0	0	P1	R6
P010800145	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	114	Ceiling on External Arrears		12.31.2005	M	Met for P1R2.	US$(billions)	0	0	P1	R6
P010800146	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	114	Ceiling on External Arrears		06.30.2006	M	Met for P1R3.	US$(billions)	0	0	P1	R6
P010800147	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	114	Ceiling on External Arrears		12.31.2006	M	Met for P1R4.	US$(billions)	0	0	P1	R6
