orgorder	strucperf	arrnum	countryname	arrtype	approvaldate	initialenddate	revisedenddate	boardactdate	econcode	econdescrpt	descpt	spc_pa_sb	testdate	revstatus	comments	programtype	reviewtype
S010800001	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	2	Trade Regime	Eliminate the discriminatory application of the 1 percent tariff rate on imports of raw materials and intermediate goods by repealing the Decree Nr. 5016, effective December 31, 2007.	PA	Third Review Prior action	M		P1	R3
S010800002	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	10.2	Central Bank reform	DAB should appoint a reputable international audit firm to audit the bank's annual financial statements for financial year 1386 (2007/2008) in accordance with International Standards on Auditing.	PA	Third Review Prior action	M		P1	R3
S010800003	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	10.5	Monetary statistics	DAB's external auditor, KPMG Afghanistan, should complete a special audit of the central bank's reserve assets reported to the IMF as of September 22, 2007. The audit should be conducted in accordance with International Standards on Auditing.	PA	Third Review Prior action	M		P1	R3
S010800004	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	2	Trade Regime	Reduce to 20 percent the 40 percent tariff rate on soft drinks established by Presidential Decree Nr. 96.	SB	03.31.2009	SB	At P1R3, Fund staff and the authorities reached an understanding that this measure will be a structural performance criterion for a later review.	P1	R3
S010800005	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	5	Public enterprises, reform and restructuring	Publish a schedule of fees charged by the Fuel and Liquid Gas Enterprise (FLGE) for its services.	SB	02.29.2008	SB		P1	R3
S010800006	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	5	Public enterprises, reform and restructuring	MoF will conclude an agreement with the DABM (electricity public enterprise) on quarterly reform benchmarks to be met by DABM throughout 2008/09 in exchange for the subsidy disbursements.	SB	03.21.2008	SB		P1	R3
S010800007	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	5	Public enterprises, reform and restructuring	MOF will conclude a comprehensive agreement with the DABM (electricity public enterprise) on a medium-term plan to reduce subsidies. 	SB	12.31.2008	SB		P1	R3
S010800008	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	6	Privatization	Adopt a comprehensive restructuring/divestment plan for the public entities and government agencies engaged in commercial activities but not covered by the state-owned enterprises (SOEs) law.	SB	03.31.2007	DL	At P1R2, test date reset to 9/30/07.	P1	R3
S010800009	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008				SB	03.31.2008	SB		P1	R3
S010800010	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008				SB	09.30.2007	DL	At P1R3, test date reset to 3/31/2008.	P1	R3
S010800011	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	7.1	Revenues	Submit to parliament legislation to eliminate nuisance taxes and introduce an excise tax on selected goods from the start of 2007/08	SB	12.31.2006	NM		P1	R3
S010800012	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	7.1	Revenues	Clarify the tax policy framework and system, including separating the legislation of the Business Receipts Tax (BRT) and income taxes.	SB	07.31.2007	M		P1	R3
S010800013	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	7.1	Revenues	Start collecting Business Receipts Tax (BRT) on imports.	SB	03.21.2009	SB		P1	R3
S010800014	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	7.1	Revenues	Withdraw trader concessions on filling and paying taxes.	SB	03.21.2009	SB		P1	R3
S010800015	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	7.2	Expenditures	Request verification by the Control and Audit Office of the 2006 reviews of the Tashkeel at the Ministry of Interior and Ministry of Education and the related arrears from 2005/06.	SB	01.31.2007	M		P1	R3
S010800016	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	7.5	Wages	Establish a certified monthly payroll system	SB	12.31.2006	M		P1	R3
S010800017	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	7.8	Governance	Establish appeals process for customs and tax administrations	SB	09.30.2006	M		P1	R3
S010800018	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	7.9	Budget approval and submission	Submit core budget to parliament according to the PFEM Law and accompanied by a MTFF	SB	3.2.2008	SB		P1	R3
S010800019	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	10.1	Bank regulation and supervision	Issue regulations on credit-granting standards and credit monitoring processes.	SB	11.30.2007	MD	At P1R3, the relevant regulations were issued in early February 2008.	P1	R3
S010800020	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	10.1	Bank regulation and supervision	Issue regulations setting limits on sectoral loan concentration.	SB	11.30.2007	MD	At P1R3, the relevant legislation was issued in early February 2008.	P1	R3
S010800021	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	10.1	Bank regulation and supervision	DAB will issue a circular informing banks that the requirement to invest 80 percent of bank deposits in domestic economy has been repealed.	SB	03.31.2008	SB		P1	R3
S010800022	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	10.2	Central Bank reform	Implement an integrated accounting system at Da Afghanistan Bank (DAB) headquarters.	SB	03.31.2007	DL	At P1R2, a new accounting system has been introduced at DAB's headquarters, but is not yet operational. The test phase is expected to be completed during the summer 2007, and the system will be fully operational at DAB's headquarters and the six regional hubs by September 2007. 	P1	R3
S010800023	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	10.2	Central Bank reform	Expand the automated integrated accounting system to DAB's six regional hubs.	SB	09.30.2007	M	At P1R2, descriptor changed from expand the automated integrated accounting system to Da Afghanistan Bank (DAB) branches to current sb while retaining 9/30/07 test date.	P1	R3
S010800024	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	10.2	Central Bank reform	Ensure that the accounting system at DAB's six regional hubs is automatically monitorable from DAB's headquarters.	SB	03.31.2008	SB		P1	R3
S010800025	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	10.4	Restructuring & privatization of financial institutions	Adopt long-term restructuring plan for Bank Millie and Bank Pashtany	SB	09.30.2006	NM	At P1R1, this benchmark not met owing to the authorities' decision in August 2006 to merge the three state-owned banks. However, the decision to merge these banks was subsequently reversed.	P1	R3
S010800026	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	10.4	Restructuring & privatization of financial institutions	Publish a public statement announcing the liquidation of Export Promotion Bank or its merger with another licensed commercial bank, and finalize the transfer of its deposit	SB	09.30.2006	NM	At P1R1, this benchmark not met owing to the authorities' decision in August 2006 to merge the three state-owned banks. However, the decision to merge these banks was subsequently reversed.	P1	R3
S010800027	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	10.4	Restructuring & privatization of financial institutions	Appoint a New Board of Director at Bank Pashtany	SB	06.30.2006	NM	At P1R1, this benchmark not met owing to the authorities' decision in August 2006 to merge the three state-owned banks. However, the decision to merge these banks was subsequently reversed.	P1	R3
S010800028	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	10.4	Restructuring & privatization of financial institutions	Make a public statement announcing the liquidation of the Export Promotion Bank or its merger with another licensed commercial bank.	SB	01.31.2007	M		P1	R3
S010800029	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	10.4	Restructuring & privatization of financial institutions	Submit to Cabinet a restructuring plan for Bank Millie.	SB	03.31.2007	M		P1	R3
S010800030	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	10.4	Restructuring & privatization of financial institutions	Prepare, and submit to Cabinet, a restructuring plan for Bank Pashtany.	SB	07.31.2007	DL	At P1R2, the 8/31/07 deadline was postponed by one month to allow for the completion of the external audit.	P1	R3
S010800031	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008				SB	08.31.2007	PM	At P1R3, the restructuring plan for Pashtany bank has been sent to Cabinet, but it is not based on the audit report because the audit took longer than expected. 	P1	R3
S010800032	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	10.5	Monetary statistics	Process gold held in the palace vaults into a form that qualifies as a reserve asset	SB	09.30.2006	NM		P1	R3
S010800033	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	10.5	Monetary statistics	Develop a monthly monetary survey in line with international standards 	SB	03.21.2007	DL	At P1R1, test date delayed until 07/31/2007.	P1	R3
S010800034	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008				SB	07.31.2007	M		P1	R3
S010800035	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	10.5	Monetary statistics	Reconcile DAB's accounting records and the monthly reports on DAB's operations for 2007/08 prepared by DAB's Monetary Policy Department.	SB	04.20.2008	SB		P1	R3
S010800036	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	10.5	Monetary statistics	DAB will produce a Monetary Survey for 2007/08 using a consistent time frame (Solar or Gregorian) for the entire banking system.	SB	06.30.2008	SB		P1	R3
S010800037	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	14.3	Transparency	Submit to parliament the 2004/05 and 2005/06 external audits of DAB	SB	09.30.2006	MD	At P1R1, audits were submitted to parliament in October 2006.	P1	R3
S010800038	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	14.3	Transparency	Submit to parliament the core budget's audited financial statement for 2007/08. 	SB	09.21.2008	SB	At P1R3, Fund staff and the authorities reached an understanding that this measure will be a structural performance criterion for a later review. 	P1	R3
S010800039	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	14.3	Transparency	Publish external audit report of Fuel and Liquid Gas Enterprise (FLGE).	SB	11.30.2008	SB		P1	R3
S010800040	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	7.9	Budget approval and submission	Submit to parliament the core budget's audited financial statements for 2005/06	SPC	09.30.2006	M		P1	R3
S010800041	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	7.9	Budget approval and submission	Submit to parliament the core budget's audited financial statement for 2006/07.	SPC	09.21.2007	W	This deadline is consistent with the requirement stated in the Public Finance and Expenditure Management (PFEM) Law that the core budget financial statements be submitted to parliament at least six months before the end of the fiscal year. The deadline was missed by one day. A waiver was granted at the time of the third review.	P1	R3
S010800042	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	2	Trade Regime	Meet the targets to end-April 2002, on a cummulative basis, consistent with the two-year action plan for the electricity sector reform.	PA	Program Prior Action	M		P1	R5
S010800043	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	6	Privatization	Allocate the proceeds from the sale of the Savings Bank in accordance with the attached Memorandum of Economic and Financial Policies	PA	Fourth Review Prior action	M		P1	R5
S010800044	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.1	Revenues	Parliament to pass legislation to close duty-free shops at all land crossings in border areas to reduce scope for smuggling and tax evasion.	PA	First Review Prior action	M		P1	R5
S010800045	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.1	Revenues	The ASYCUDA computer administration system to be made operational in the Durrës port.	PA	Fourth Review Prior action	M		P1	R5
S010800046	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.2	Expenditures	Prepare the first comprehensive quarterly report updating the stock of external arrears as of end-March 2002, and identifying progress in, and plans for the clearance of external arrears.	PA	Program Prior Action	M		P1	R5
S010800047	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.2	Expenditures	Finalize domestic process for the external arrears rescheduling agreement with Russia and pay the already scheduled amounts (interest and principle).	PA	Program Prior Action	M		P1	R5
S010800048	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.2	Expenditures	Develop expenditure contingencies for the second half of 2003-in close consultation with line ministries and in line with the NSSED-and submit these to IMF staff.	PA	Second Review Prior action	M		P1	R5
S010800049	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.2	Expenditures	Execute the government-assisted netting and final settlement of public sector inter-enterprise arrears as of end-2001.	PA	Third Review Prior action	M		P1	R5
S010800050	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.9	Budget approval and submission	Parliament to approve amendments to the 2002 budget consistent with the revised Memorandum of Economic and Financial Policies.	PA	Program Prior Action	M		P1	R5
S010800051	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.9	Budget approval and submission	Parliament to approve the 2003 budget consistent with this Supplementary Memorandum of Financial and Economic Policies.	PA	First Review Prior action	M		P1	R5
S010800052	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.9	Budget approval and submission	Parliament to approve the 2004 budget consistent with the Supplementary Memorandum of Economic and Financial Policies.	PA	Third Review Prior action	M		P1	R5
S010800053	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	10	Financial sector	The Bank of Albania to pay the salaries of all its professional staff through the banking system	PA	Fourth Review Prior action	M		P1	R5
S010800054	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	2	Trade Regime	Finalize a major study of the energy sector with the aim of determining electricity tariffs based on long-run marginal costs and phasing out subsidies by end-2004.	SB	09.30.2002	DL		P1	R5
S010800055	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	5	Public enterprises, reform and restructuring	Strengthen governance in relation to the public administration by: i) extending the Civil Service Law to include all institutions related to government spending agencies.	SB	06.30.2004	CAN	Cancelled at P1R3.	P1	R5
S010800056	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	5	Public enterprises, reform and restructuring	Strengthen governance in relation to the public administration by: ii) starting the enforcement of procedures to implement the law on the asset declaration of public officials developed in consultation with the World Bank.	SB	09.30.2003	M	Met for P1R3, then cancelled.	P1	R5
S010800057	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005				SB	Continuous	CAN	Test dates: end-September 2003, and continuous thereafter.	P1	R5
S010800058	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	5	Public enterprises, reform and restructuring	Extend the Civil Service Law or its equivalent to selected central government organizational units, with priority given to INSTAT, GDT, and GDC.	SB	06.30.2004	M	Previously a structural benchmark with identical test date which was modified.	P1	R5
S010800059	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	6	Privatization	Resolve all of Albtelekom's financial and legal disputes in preparing it for privatization.	SB	09.30.2002	DL		P1	R5
S010800060	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	6	Privatization	To promote the privatization process: complete the transfer of pension functions from Savings Bank to Albapost; and settle the remaining financial claims of Albtelekom.	SB	03.31.2003	DL	Delayed at P1R2, and sb split into two.	P1	R5
S010800061	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	6	Privatization	Settle Albtelekom's remaining financial claims.	SB	09.30.2003	NM		P1	R5
S010800062	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	6	Privatization	Transfer a further part of the fiscal functions of the Savings Bank to private banks, by completing the auctioning of these functions in 5 cities.	SB	12.31.2003	MD	Converted to full liberalization of these services in January 2004.	P1	R5
S010800063	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.1	Revenues	Internal Audit Unit to produce quarterly reports on the functioning of customs system, including specific recommendations for the remedy of identified shortcomings, and Director-General to send reports on corrective measures taken by the Customs Department.	SB	Continuous	M	Met for P1R1, P1R2, P1R3.	P1	R5
S010800064	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.1	Revenues	Internal Audit Unit to produce quarterly reports on the functioning of customs system, including specific recommendations for the remedy of identified shortcomings, and Director-General to send reports on corrective measures taken by the Customs Department.	SB	Continuous	CAN	Cancelled at P1R4.	P1	R5
S010800065	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.1	Revenues	The Tax Department to prepare quarterly reports on the controls of the use of cash registers and penalties imposed on misusers.	SB	Continuous	M	Met for P1R1, P1R2, P1R3.	P1	R5
S010800066	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.1	Revenues	The Tax Department to prepare quarterly reports on the controls of the use of cash registers and penalties imposed on misusers.	SB	Continuous	CAN	Cancelled at P1R4.	P1	R5
S010800067	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.1	Revenues	Draft and implement an action plan jointly prepared by Tax and Customs Departments to reduce fiscal evasion through underinvoicing.	SB	06.30.2002	M		P1	R5
S010800068	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.1	Revenues	Extend the tax base through: a) introducing environmental taxes (by September 1, 2002) and a tax on the ownership of agricultural land (by October 1, 2002).	SB	01.31.2003	M		P1	R5
S010800069	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005				SB	10.31.2002	DL	At P1R2, delayed to 1/03.	P1	R5
S010800070	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.1	Revenues	To strengthen tax and customs administration: recruit around 40 additional appropriately skilled and experienced staff in the Tax Department's headquarters; revise procedures and manuals for the enforced collection of taxes; and establish a post-clearance control unit with a staff of up to 10 senior inspectors, concentrating on valuation, classification, origin, exemption, and suspension claims, while updating reference prices regularly.	SB	05.31.2003	PM	At P1R2, completed, except for: Establish a post-clearance control unit with a staff of up to 10 senior inspectors, concentrating on valuation, classification, origin, exemption, and suspension claims, while updating reference prices regularly. (7/2003).	P1	R5
S010800071	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.1	Revenues	Extend the tax base through: b) increasing the number of registered taxpayers from 47,000 at end-2001 to 57,000 at end-2002.	SB	12.31.2002	NM		P1	R5
S010800072	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.1	Revenues	Improve governance and trasparency in the delivery of fiscal policy, in line with the recommendations of the fiscal ROSC, by: i) ensuring the consistency of VAT and customs duties laws in time for the 2004 budget law to reduce discretion.	SB	12.31.2003	MOD	At P1R3, modified to Strengthen tax and customs administration through: iv) redrafting the VAT and customs laws and regulations to ensure consistency in time for the 2005 budget. with 10/31/04 test date.	P1	R5
S010800073	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.1	Revenues	Establish a post-clearance control unit with a staff of up to 10 senior inspectors, concentrating on valuation, classification, origin, exemption, and suspension claims, while updating reference prices regularly.	SB	07.31.2003	M		P1	R5
S010800074	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.1	Revenues	Adopt a government decision not to release up to Lek 1 billion from each of the reserve fund and contingency fund by the amount that final tax revenue collected in 2003 by the GDT, GDC, and SSI (including taxes collected on behalf of local government) falls short of Lek 144.5 billion	SB	06.30.2004	M		P1	R5
S010800075	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.1	Revenues	Strengthen tax and customs administration through: i) improving the VAT refunds process by reporting on the stock of VAT refunds claimed and refunds paid out every month.	SB	01.31.2005	PM	Partially met for P1R5.	P1	R5
S010800076	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005				SB	Continuous	M	Met for P1R4.	P1	R5
S010800077	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005				SB	Continuous	SB	Introduced at P1R3, continuous as of 3/31/2004.	P1	R5
S010800078	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.1	Revenues	Strengthen tax and customs administration through: ii) implementing the recommendations of the integrity audit of the ASYCUDA computer administration system in the Tirana customs office and the Durres port.	SB	06.30.2004	CAN	Cancelled at P1R4. 	P1	R5
S010800079	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.1	Revenues	Strengthen tax and customs administration through: iii) improving fiscal reporting by completing the computerization of the regional treasury offices.	SB	09.30.2004	CAN	Cancelled at P1R4.	P1	R5
S010800080	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.1	Revenues	Clear overdue VAT refunds originating prior to June 2004 by allocating to this end 1 percent of VAT gross revenue on a quarterly basis	SB	Continuous	SB		P1	R5
S010800081	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.1	Revenues	Establishing at the Treasury a separate account for VAT refunds, funded with around 5 percent of gross VAT receipts already collected, and requiring the GDT to report on VAT refunds along with the monthly publication of data on revenue collected.	SB	Continuous	MOD	Continuous as of 6/30/2003. At P1R3, modified to: Strengthen tax and customs administration through: i) improving the VAT refunds process by reporting on the stock of VAT refunds claimed and refunds paid out every month.(continuous)	P1	R5
S010800082	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.1	Revenues	Strengthen tax and customs administration through: iv) redrafting the VAT and customs laws and regulations to ensure consistency in time for the 2005 budget.	SB	Continuous	SB		P1	R5
S010800083	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.1	Revenues	Strengthen tax and customs administration through: iv) redrafting the VAT and customs laws and regulations to ensure consistency in time for the 2005 budget.	SB	Continuous	M	Met for P1R5.	P1	R5
S010800084	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.2	Expenditures	With regard to arrears within the public sector: a) finalize the recording of inter-enterprise arrears and tax arrears, complete the reconciliation process, and bilateral memoranda of understanding indicating the amount of net overdue payables/receivables as of December 31, 2001; and b) determine the amount of inter-enterprise arrears that can be cancelled through multilateral nettings.	SB	10.31.2002	DL	At P1R1, conditionality was strengthened to: Determine the amount of domestic arrears within the public sector that can be cancelled through government-assisted multilateral repayments and design strategies for promoting the full and timely payment of all obligations contracted thereafter (3/31/2003).	P1	R5
S010800085	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.2	Expenditures	Determine the amount of domestic arrears within the public sector that can be cancelled through government-assisted multilateral repayments and design strategies for promoting the full and timely payment of all obligations contracted thereafter.	SB	03.31.2003	MOD	At time of P1R2, conditionality was strengthened, and changed to a performance criterion: Execute the government-assisted netting and final settlement of public sector inter-enterprise arrears as of end-2001, and present to Fund staff strategies for ensureing the full and timely payment of all obligations contracted thereafter (9/30/2003).	P1	R5
S010800086	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.2	Expenditures	Improve governance and trasparency in the delivery of fiscal policy, in line with the recommendations of the fiscal ROSC, by: ii) extending the apporpriation structure in the 2004 budget document to cover program classification of capital expenditure and significantly reducing the scope for transfers in the appropriaton of one ministry to another without approval of parliament, from the current maximum of 10 percent of the total.	SB	12.31.2003	M		P1	R5
S010800087	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.2	Expenditures	Improve governance and trasparency in the delivery of fiscal policy, in line with the recommendations of the fiscal ROSC, by: iii)(a) strengthening tax appeals procedures, including by publishing decisions of the tax appeals commission; and (b) including instructions on tax procedures in the official gazette and in pamphlets distributed to taxpayers.	SB	12.31.2003	SB		P1	R5
S010800088	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.2	Expenditures	Submit to Parliament for ratification the protocol agreements for restructuring of arrears with Hungary.	SB	12.31.2003	M		P1	R5
S010800089	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.2	Expenditures	Safeguard the efficient use of nonconcessional project loans through: (i) conducting an independent feasibility study for any large project (as defined in the TMU) financed through non concessional borrowing.	SB	Continuous	M	Met for P1R4, P1R5.	P1	R5
S010800090	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.2	Expenditures	Safeguard the efficient use of nonconcessional project loans through: (i) conducting an independent feasibility study for any large project (as defined in the TMU) financed through non concessional borrowing.	SB	Continuous	SB	Introduced at P1R3.	P1	R5
S010800091	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.2	Expenditures	Safeguard the efficient use of nonconcessional project loans through: (ii) Providing a quarterly listing and status report on all projects being considered for nonconcessional foreign financing.	SB	Continuous	SB	Introduced at P1R3.	P1	R5
S010800092	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.2	Expenditures	Safeguard the efficient use of nonconcessional project loans through: (ii) Providing a quarterly listing and status report on all projects being considered for nonconcessional foreign financing.	SB	Continuous	M	Met for P1R4, P1R5.	P1	R5
S010800093	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.2	Expenditures	Prepare quarterly reports on the stock of external arrears.	SB	Continuous	M	Met for P1R1, P1R2, P1R3, P1R4, P1R5.	P1	R5
S010800094	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.2	Expenditures	Prepare quarterly reports on the stock of external arrears.	SB	Continuous	SB		P1	R5
S010800095	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	7.2	Expenditures	Prepare quarterly reports on the aggregate amounts of the VAT refunds requested, refunds paid and refunds rejected.	SB	Continuous	SB	Introduced at P1R5.	P1	R5
S010800096	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	9	Social safety net	Government to implement a subsidy to low income electricity consumers	SB	09.30.2004	M		P1	R5
S010800097	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	10.3	Financial legal reforms	In relation to monetary policy and financial sector: a) introduce government securities with a maturity of at least two years.	SB	06.30.2002	DL		P1	R5
S010800098	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005				SB	10.31.2002	M		P1	R5
S010800099	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	10.3	Financial legal reforms	In relation to monetary policy and the financial sector: b) promote the sale of T-bills to the public through Albpost and further improve the accessibility of the BoA's window for selling T-bills.	SB	Continuous	M	At P1R1, this sb dropped.	P1	R5
S010800100	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	10.3	Financial legal reforms	Government of Albania to continue to implement its action plan for removing administrative barriers to investment (NSSED chapter 7, Section of Ministry of the Economy).	SB	Continuous	SB		P1	R5
S010800101	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	10.3	Financial legal reforms	Government of Albania to continue to implement its action plan for removing administrative barriers to investment (NSSED chapter 7, Section of Ministry of the Economy).	SB	Continuous	M	Met for P1R5.	P1	R5
S010800102	structural	507	albania	PRGF	21.06.2002	06.06.2005	20.11.2005	28.02.2005	10.3	Financial legal reforms	Ensure implementation of the Action Plan for removing administrative barriers to investment.	SB	06.30.2004	M	At P1R4, modified to Government of Albania to continue to implement its action plan for removing administrative barriers to investment (continuous).	P1	R5
