orgorder	strucperf	arrange	countryname	arrangetype	approvaldate	durationto	quantperfcode	description	testdate	status	reviewcomment	programstatus	programtype	reviewtype
P930103601	performance	348	georgia	PRGF	12.01.2001	11.01.2004	3	BOP/Reserve Test	9.30.2001	CAN	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103602	performance	348	georgia	PRGF	12.01.2001	11.01.2004	3	BOP/Reserve Test	12.31.2001	M	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103603	performance	348	georgia	PRGF	12.01.2001	11.01.2004	3	BOP/Reserve Test	9.30.2002	PC	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103604	performance	348	georgia	PRGF	12.01.2001	11.01.2004	4	Med/Long-term Ext Debt Ceiling	12.31.2000	M	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103605	performance	348	georgia	PRGF	12.01.2001	11.01.2004	4	Med/Long-term Ext Debt Ceiling	3.31.2001	M	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103606	performance	348	georgia	PRGF	12.01.2001	11.01.2004	4	Med/Long-term Ext Debt Ceiling	6.30.2001	M	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103607	performance	348	georgia	PRGF	12.01.2001	11.01.2004	4	Med/Long-term Ext Debt Ceiling	9.30.2001	CAN	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103608	performance	348	georgia	PRGF	12.01.2001	11.01.2004	4	Med/Long-term Ext Debt Ceiling	12.31.2001	M	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103609	performance	348	georgia	PRGF	12.01.2001	11.01.2004	4	Med/Long-term Ext Debt Ceiling	9.30.2002	PC	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103610	performance	348	georgia	PRGF	12.01.2001	11.01.2004	5	Med/Long-term Ext Debt-Sub Ceiling	12.31.2000	M	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103611	performance	348	georgia	PRGF	12.01.2001	11.01.2004	5	Med/Long-term Ext Debt-Sub Ceiling	3.31.2001	M	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103612	performance	348	georgia	PRGF	12.01.2001	11.01.2004	5	Med/Long-term Ext Debt-Sub Ceiling	6.30.2001	M	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103613	performance	348	georgia	PRGF	12.01.2001	11.01.2004	5	Med/Long-term Ext Debt-Sub Ceiling	9.30.2001	CAN	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103614	performance	348	georgia	PRGF	12.01.2001	11.01.2004	5	Med/Long-term Ext Debt-Sub Ceiling	12.31.2001	M	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103615	performance	348	georgia	PRGF	12.01.2001	11.01.2004	5	Med/Long-term Ext Debt-Sub Ceiling	9.30.2002	PC	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103616	performance	348	georgia	PRGF	12.01.2001	11.01.2004	6	Short-term Debt	12.31.2000	M	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103617	performance	348	georgia	PRGF	12.01.2001	11.01.2004	6	Short-term Debt	3.31.2001	M	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103618	performance	348	georgia	PRGF	12.01.2001	11.01.2004	6	Short-term Debt	6.30.2001	M	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103619	performance	348	georgia	PRGF	12.01.2001	11.01.2004	6	Short-term Debt	9.30.2001	CAN	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103620	performance	348	georgia	PRGF	12.01.2001	11.01.2004	6	Short-term Debt	12.31.2001	M	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103621	performance	348	georgia	PRGF	12.01.2001	11.01.2004	6	Short-term Debt	9.30.2002	PC	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103622	performance	348	georgia	PRGF	12.01.2001	11.01.2004	8	No New External Arrears	Cont.	PC	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103623	performance	348	georgia	PRGF	12.01.2001	11.01.2004	8	No New External Arrears	Contin.	W	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103624	performance	348	georgia	PRGF	12.01.2001	11.01.2004	8	No New External Arrears	Continuous	W	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103625	performance	348	georgia	PRGF	12.01.2001	11.01.2004	9	Fiscal Deficit	12.31.2000	M	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103626	performance	348	georgia	PRGF	12.01.2001	11.01.2004	9	Fiscal Deficit	3.31.2001	M	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103627	performance	348	georgia	PRGF	12.01.2001	11.01.2004	9	Fiscal Deficit	6.30.2001	M	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103628	performance	348	georgia	PRGF	12.01.2001	11.01.2004	9	Fiscal Deficit	9.30.2001	CAN	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103629	performance	348	georgia	PRGF	12.01.2001	11.01.2004	9	Fiscal Deficit	12.31.2001	M	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103630	performance	348	georgia	PRGF	12.01.2001	11.01.2004	9	Fiscal Deficit	9.30.2002	PC	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103631	performance	348	georgia	PRGF	12.01.2001	11.01.2004	1928	Tax Revenue	12.31.2000	M	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103632	performance	348	georgia	PRGF	12.01.2001	11.01.2004	1928	Tax Revenue	3.31.2001	W	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103633	performance	348	georgia	PRGF	12.01.2001	11.01.2004	1928	Tax Revenue	6.30.2001	M	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103634	performance	348	georgia	PRGF	12.01.2001	11.01.2004	1928	Tax Revenue	9.30.2001	CAN	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103635	performance	348	georgia	PRGF	12.01.2001	11.01.2004	1928	Tax Revenue	12.31.2001	W	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103636	performance	348	georgia	PRGF	12.01.2001	11.01.2004	1928	Tax Revenue	9.30.2002	PC	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103637	performance	348	georgia	PRGF	12.01.2001	11.01.2004	1929	Domestic Arrears	12.31.2000	M	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103638	performance	348	georgia	PRGF	12.01.2001	11.01.2004	1929	Domestic Arrears	3.31.2001	W	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103639	performance	348	georgia	PRGF	12.01.2001	11.01.2004	1929	Domestic Arrears	6.30.2001	M	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103640	performance	348	georgia	PRGF	12.01.2001	11.01.2004	1929	Domestic Arrears	9.30.2001	CAN	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103641	performance	348	georgia	PRGF	12.01.2001	11.01.2004	1929	Domestic Arrears	12.31.2001	W	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103642	performance	348	georgia	PRGF	12.01.2001	11.01.2004	1929	Domestic Arrears	9.30.2002	PC	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103643	performance	348	georgia	PRGF	12.01.2001	11.01.2004	2151	Budget System Law Adoption	2.28.2002	W	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103644	performance	348	georgia	PRGF	12.01.2001	11.01.2004	2151	Budget System Law Adoption	10.31.2002	PC	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103645	performance	348	georgia	PRGF	12.01.2001	11.01.2004	2351	Reorganization of NBG Functions	12.31.2002	PC	1st review was delayed following non-observance of three end-March 2001 performance criteria and one continuous performance criterion. Waivers granted. Review schedule revised. 2nd review was delayed mainly because of the need to take adequate measures to underpin higher budgeted tax revenues in 2002.	P1R2	P1	R2
P930103646	performance	158	ghana	ESAF	30.06.1995	29.06.1998	1	Domestic Credit	9.30.1995	M	Midterm review delayed until 6/96. Waivers given for net domestic financing of budget deficit, short-term external debt, and reduction in external payments arrears.	P1R1	P1	R1
P930103647	performance	280	ghana	ESAF	30.06.1995	29.06.1999	1	Domestic Credit	9.30.1995	M	Approval of 2nd annual arrangement conditioned on strong financial performance, smooth functioning of formula-based petroleum price adjustments, preparation for reintroduction of VAT, reductions in customs exemptions, improved customs administration, and strict adherence to injunction against nonconcessional external borrowing. Midterm review: Waiver given for perf. crit. to establish central revenue authority (constitutional provisions for separate agencies). Modified to central revenue board that was established 12/2/98. Also waiver given for perf. crit. on sale of Tema Oil Refinery (need for rehab and restructuring). Timetable established for offering by 11/99.	P2R1	P2	R1
P930103648	performance	280	ghana	ESAF	30.06.1995	29.06.1999	1	Domestic Credit	9.30.1996	M	Approval of 2nd annual arrangement conditioned on strong financial performance, smooth functioning of formula-based petroleum price adjustments, preparation for reintroduction of VAT, reductions in customs exemptions, improved customs administration, and strict adherence to injunction against nonconcessional external borrowing. Midterm review: Waiver given for perf. crit. to establish central revenue authority (constitutional provisions for separate agencies). Modified to central revenue board that was established 12/2/98. Also waiver given for perf. crit. on sale of Tema Oil Refinery (need for rehab and restructuring). Timetable established for offering by 11/99.	P2R1	P2	R1
P930103649	performance	280	ghana	ESAF	30.06.1995	29.06.1999	1	Domestic Credit	12.31.1996	NM	Approval of 2nd annual arrangement conditioned on strong financial performance, smooth functioning of formula-based petroleum price adjustments, preparation for reintroduction of VAT, reductions in customs exemptions, improved customs administration, and strict adherence to injunction against nonconcessional external borrowing. Midterm review: Waiver given for perf. crit. to establish central revenue authority (constitutional provisions for separate agencies). Modified to central revenue board that was established 12/2/98. Also waiver given for perf. crit. on sale of Tema Oil Refinery (need for rehab and restructuring). Timetable established for offering by 11/99.	P2R1	P2	R1
P930103650	performance	280	ghana	ESAF	30.06.1995	29.06.1999	1	Domestic Credit	6.30.1998	M	Approval of 2nd annual arrangement conditioned on strong financial performance, smooth functioning of formula-based petroleum price adjustments, preparation for reintroduction of VAT, reductions in customs exemptions, improved customs administration, and strict adherence to injunction against nonconcessional external borrowing. Midterm review: Waiver given for perf. crit. to establish central revenue authority (constitutional provisions for separate agencies). Modified to central revenue board that was established 12/2/98. Also waiver given for perf. crit. on sale of Tema Oil Refinery (need for rehab and restructuring). Timetable established for offering by 11/99.	P2R1	P2	R1
P930103651	performance	158	ghana	ESAF	30.06.1995	29.06.1998	2	Credit to Government/Public Sector	9.30.1995	W	Midterm review delayed until 6/96. Waivers given for net domestic financing of budget deficit, short-term external debt, and reduction in external payments arrears.	P1R1	P1	R1
P930103652	performance	280	ghana	ESAF	30.06.1995	29.06.1999	2	Credit to Government/Public Sector	9.30.1995	NM	Approval of 2nd annual arrangement conditioned on strong financial performance, smooth functioning of formula-based petroleum price adjustments, preparation for reintroduction of VAT, reductions in customs exemptions, improved customs administration, and strict adherence to injunction against nonconcessional external borrowing. Midterm review: Waiver given for perf. crit. to establish central revenue authority (constitutional provisions for separate agencies). Modified to central revenue board that was established 12/2/98. Also waiver given for perf. crit. on sale of Tema Oil Refinery (need for rehab and restructuring). Timetable established for offering by 11/99.	P2R1	P2	R1
P930103653	performance	280	ghana	ESAF	30.06.1995	29.06.1999	2	Credit to Government/Public Sector	9.30.1996	NM	Approval of 2nd annual arrangement conditioned on strong financial performance, smooth functioning of formula-based petroleum price adjustments, preparation for reintroduction of VAT, reductions in customs exemptions, improved customs administration, and strict adherence to injunction against nonconcessional external borrowing. Midterm review: Waiver given for perf. crit. to establish central revenue authority (constitutional provisions for separate agencies). Modified to central revenue board that was established 12/2/98. Also waiver given for perf. crit. on sale of Tema Oil Refinery (need for rehab and restructuring). Timetable established for offering by 11/99.	P2R1	P2	R1
P930103654	performance	280	ghana	ESAF	30.06.1995	29.06.1999	2	Credit to Government/Public Sector	12.31.1996	NM	Approval of 2nd annual arrangement conditioned on strong financial performance, smooth functioning of formula-based petroleum price adjustments, preparation for reintroduction of VAT, reductions in customs exemptions, improved customs administration, and strict adherence to injunction against nonconcessional external borrowing. Midterm review: Waiver given for perf. crit. to establish central revenue authority (constitutional provisions for separate agencies). Modified to central revenue board that was established 12/2/98. Also waiver given for perf. crit. on sale of Tema Oil Refinery (need for rehab and restructuring). Timetable established for offering by 11/99.	P2R1	P2	R1
P930103655	performance	280	ghana	ESAF	30.06.1995	29.06.1999	2	Credit to Government/Public Sector	6.30.1998	M	Approval of 2nd annual arrangement conditioned on strong financial performance, smooth functioning of formula-based petroleum price adjustments, preparation for reintroduction of VAT, reductions in customs exemptions, improved customs administration, and strict adherence to injunction against nonconcessional external borrowing. Midterm review: Waiver given for perf. crit. to establish central revenue authority (constitutional provisions for separate agencies). Modified to central revenue board that was established 12/2/98. Also waiver given for perf. crit. on sale of Tema Oil Refinery (need for rehab and restructuring). Timetable established for offering by 11/99.	P2R1	P2	R1
P930103656	performance	158	ghana	ESAF	30.06.1995	29.06.1998	3	BOP/Reserve Test	9.30.1995	M	Midterm review delayed until 6/96. Waivers given for net domestic financing of budget deficit, short-term external debt, and reduction in external payments arrears.	P1R1	P1	R1
P930103657	performance	280	ghana	ESAF	30.06.1995	29.06.1999	3	BOP/Reserve Test	9.30.1995	M	Approval of 2nd annual arrangement conditioned on strong financial performance, smooth functioning of formula-based petroleum price adjustments, preparation for reintroduction of VAT, reductions in customs exemptions, improved customs administration, and strict adherence to injunction against nonconcessional external borrowing. Midterm review: Waiver given for perf. crit. to establish central revenue authority (constitutional provisions for separate agencies). Modified to central revenue board that was established 12/2/98. Also waiver given for perf. crit. on sale of Tema Oil Refinery (need for rehab and restructuring). Timetable established for offering by 11/99.	P2R1	P2	R1
P930103658	performance	280	ghana	ESAF	30.06.1995	29.06.1999	3	BOP/Reserve Test	9.30.1996	NM	Approval of 2nd annual arrangement conditioned on strong financial performance, smooth functioning of formula-based petroleum price adjustments, preparation for reintroduction of VAT, reductions in customs exemptions, improved customs administration, and strict adherence to injunction against nonconcessional external borrowing. Midterm review: Waiver given for perf. crit. to establish central revenue authority (constitutional provisions for separate agencies). Modified to central revenue board that was established 12/2/98. Also waiver given for perf. crit. on sale of Tema Oil Refinery (need for rehab and restructuring). Timetable established for offering by 11/99.	P2R1	P2	R1
P930103659	performance	280	ghana	ESAF	30.06.1995	29.06.1999	3	BOP/Reserve Test	12.31.1996	NM	Approval of 2nd annual arrangement conditioned on strong financial performance, smooth functioning of formula-based petroleum price adjustments, preparation for reintroduction of VAT, reductions in customs exemptions, improved customs administration, and strict adherence to injunction against nonconcessional external borrowing. Midterm review: Waiver given for perf. crit. to establish central revenue authority (constitutional provisions for separate agencies). Modified to central revenue board that was established 12/2/98. Also waiver given for perf. crit. on sale of Tema Oil Refinery (need for rehab and restructuring). Timetable established for offering by 11/99.	P2R1	P2	R1
P930103660	performance	280	ghana	ESAF	30.06.1995	29.06.1999	3	BOP/Reserve Test	6.30.1998	M	Approval of 2nd annual arrangement conditioned on strong financial performance, smooth functioning of formula-based petroleum price adjustments, preparation for reintroduction of VAT, reductions in customs exemptions, improved customs administration, and strict adherence to injunction against nonconcessional external borrowing. Midterm review: Waiver given for perf. crit. to establish central revenue authority (constitutional provisions for separate agencies). Modified to central revenue board that was established 12/2/98. Also waiver given for perf. crit. on sale of Tema Oil Refinery (need for rehab and restructuring). Timetable established for offering by 11/99.	P2R1	P2	R1
P930103661	performance	158	ghana	ESAF	30.06.1995	29.06.1998	4	Med/Long-term Ext Debt Ceiling	9.30.1995	M	Midterm review delayed until 6/96. Waivers given for net domestic financing of budget deficit, short-term external debt, and reduction in external payments arrears.	P1R1	P1	R1
P930103662	performance	280	ghana	ESAF	30.06.1995	29.06.1999	4	Med/Long-term Ext Debt Ceiling	9.30.1995	M	Approval of 2nd annual arrangement conditioned on strong financial performance, smooth functioning of formula-based petroleum price adjustments, preparation for reintroduction of VAT, reductions in customs exemptions, improved customs administration, and strict adherence to injunction against nonconcessional external borrowing. Midterm review: Waiver given for perf. crit. to establish central revenue authority (constitutional provisions for separate agencies). Modified to central revenue board that was established 12/2/98. Also waiver given for perf. crit. on sale of Tema Oil Refinery (need for rehab and restructuring). Timetable established for offering by 11/99.	P2R1	P2	R1
P930103663	performance	280	ghana	ESAF	30.06.1995	29.06.1999	4	Med/Long-term Ext Debt Ceiling	9.30.1996	NM	Approval of 2nd annual arrangement conditioned on strong financial performance, smooth functioning of formula-based petroleum price adjustments, preparation for reintroduction of VAT, reductions in customs exemptions, improved customs administration, and strict adherence to injunction against nonconcessional external borrowing. Midterm review: Waiver given for perf. crit. to establish central revenue authority (constitutional provisions for separate agencies). Modified to central revenue board that was established 12/2/98. Also waiver given for perf. crit. on sale of Tema Oil Refinery (need for rehab and restructuring). Timetable established for offering by 11/99.	P2R1	P2	R1
P930103664	performance	280	ghana	ESAF	30.06.1995	29.06.1999	4	Med/Long-term Ext Debt Ceiling	12.31.1996	NM	Approval of 2nd annual arrangement conditioned on strong financial performance, smooth functioning of formula-based petroleum price adjustments, preparation for reintroduction of VAT, reductions in customs exemptions, improved customs administration, and strict adherence to injunction against nonconcessional external borrowing. Midterm review: Waiver given for perf. crit. to establish central revenue authority (constitutional provisions for separate agencies). Modified to central revenue board that was established 12/2/98. Also waiver given for perf. crit. on sale of Tema Oil Refinery (need for rehab and restructuring). Timetable established for offering by 11/99.	P2R1	P2	R1
P930103665	performance	280	ghana	ESAF	30.06.1995	29.06.1999	4	Med/Long-term Ext Debt Ceiling	6.30.1998	M	Approval of 2nd annual arrangement conditioned on strong financial performance, smooth functioning of formula-based petroleum price adjustments, preparation for reintroduction of VAT, reductions in customs exemptions, improved customs administration, and strict adherence to injunction against nonconcessional external borrowing. Midterm review: Waiver given for perf. crit. to establish central revenue authority (constitutional provisions for separate agencies). Modified to central revenue board that was established 12/2/98. Also waiver given for perf. crit. on sale of Tema Oil Refinery (need for rehab and restructuring). Timetable established for offering by 11/99.	P2R1	P2	R1
P930103666	performance	158	ghana	ESAF	30.06.1995	29.06.1998	5	Med/Long-term Ext Debt-Sub Ceiling	9.30.1995	NM	Midterm review delayed until 6/96. Waivers given for net domestic financing of budget deficit, short-term external debt, and reduction in external payments arrears.	P1R1	P1	R1
P930103667	performance	158	ghana	ESAF	30.06.1995	29.06.1998	6	Short-term Debt	9.30.1995	W	Midterm review delayed until 6/96. Waivers given for net domestic financing of budget deficit, short-term external debt, and reduction in external payments arrears.	P1R1	P1	R1
P930103668	performance	280	ghana	ESAF	30.06.1995	29.06.1999	6	Short-term Debt	9.30.1995	W	Approval of 2nd annual arrangement conditioned on strong financial performance, smooth functioning of formula-based petroleum price adjustments, preparation for reintroduction of VAT, reductions in customs exemptions, improved customs administration, and strict adherence to injunction against nonconcessional external borrowing. Midterm review: Waiver given for perf. crit. to establish central revenue authority (constitutional provisions for separate agencies). Modified to central revenue board that was established 12/2/98. Also waiver given for perf. crit. on sale of Tema Oil Refinery (need for rehab and restructuring). Timetable established for offering by 11/99.	P2R1	P2	R1
P930103669	performance	280	ghana	ESAF	30.06.1995	29.06.1999	6	Short-term Debt	9.30.1996	NM	Approval of 2nd annual arrangement conditioned on strong financial performance, smooth functioning of formula-based petroleum price adjustments, preparation for reintroduction of VAT, reductions in customs exemptions, improved customs administration, and strict adherence to injunction against nonconcessional external borrowing. Midterm review: Waiver given for perf. crit. to establish central revenue authority (constitutional provisions for separate agencies). Modified to central revenue board that was established 12/2/98. Also waiver given for perf. crit. on sale of Tema Oil Refinery (need for rehab and restructuring). Timetable established for offering by 11/99.	P2R1	P2	R1
P930103670	performance	280	ghana	ESAF	30.06.1995	29.06.1999	6	Short-term Debt	12.31.1996	NM	Approval of 2nd annual arrangement conditioned on strong financial performance, smooth functioning of formula-based petroleum price adjustments, preparation for reintroduction of VAT, reductions in customs exemptions, improved customs administration, and strict adherence to injunction against nonconcessional external borrowing. Midterm review: Waiver given for perf. crit. to establish central revenue authority (constitutional provisions for separate agencies). Modified to central revenue board that was established 12/2/98. Also waiver given for perf. crit. on sale of Tema Oil Refinery (need for rehab and restructuring). Timetable established for offering by 11/99.	P2R1	P2	R1
P930103671	performance	280	ghana	ESAF	30.06.1995	29.06.1999	6	Short-term Debt	6.30.1998	PC	Approval of 2nd annual arrangement conditioned on strong financial performance, smooth functioning of formula-based petroleum price adjustments, preparation for reintroduction of VAT, reductions in customs exemptions, improved customs administration, and strict adherence to injunction against nonconcessional external borrowing. Midterm review: Waiver given for perf. crit. to establish central revenue authority (constitutional provisions for separate agencies). Modified to central revenue board that was established 12/2/98. Also waiver given for perf. crit. on sale of Tema Oil Refinery (need for rehab and restructuring). Timetable established for offering by 11/99.	P2R1	P2	R1
P930103672	performance	158	ghana	ESAF	30.06.1995	29.06.1998	7	External Arrears	9.30.1995	W	Midterm review delayed until 6/96. Waivers given for net domestic financing of budget deficit, short-term external debt, and reduction in external payments arrears.	P1R1	P1	R1
