orgorder	strucperf	arrange	countryname	arrangetype	approvaldate	durationto	quantperfcode	description	testdate	status	reviewcomment	programstatus	programtype	reviewtype
P930100022	performance	316	albania	ESAF	12.05.1998	11.05.2001	2	Credit to Government/Public Sector	9.30.1999	M	Midterm review: Two structural performance criteria for 9/99 waived. The draft law for privatization of the Savings Bank was submitted to parliament was sent by time of review. The sale or liquidation of all bu 50 SMEs should be met shortly.	P2R2	P2	R2
P930100023	performance	316	albania	ESAF	12.05.1998	11.05.2001	2	Credit to Government/Public Sector	12.31.1999		Midterm review: Two structural performance criteria for 9/99 waived. The draft law for privatization of the Savings Bank was submitted to parliament was sent by time of review. The sale or liquidation of all bu 50 SMEs should be met shortly.	P2R2	P2	R2
P930100024	performance	316	albania	ESAF	12.05.1998	11.05.2001	2	Credit to Government/Public Sector	3.31.2000	M	Midterm review: Two structural performance criteria for 9/99 waived. The draft law for privatization of the Savings Bank was submitted to parliament was sent by time of review. The sale or liquidation of all bu 50 SMEs should be met shortly.	P2R2	P2	R2
P930100025	performance	316	albania	ESAF	12.05.1998	11.05.2001	2	Credit to Government/Public Sector	6.30.2000		Midterm review: Two structural performance criteria for 9/99 waived. The draft law for privatization of the Savings Bank was submitted to parliament was sent by time of review. The sale or liquidation of all bu 50 SMEs should be met shortly.	P2R2	P2	R2
P930100026	performance	406	albania	PRGF	12.05.1998	31.07.2001	2	Credit to Government/Public Sector	9.30.2000	M	1st review: Waivers granted for nonobservance of three structural benchmarks.	P3R2	P3	R2
P930100027	performance	406	albania	PRGF	12.05.1998	31.07.2001	2	Credit to Government/Public Sector	3.31.2001	M	1st review: Waivers granted for nonobservance of three structural benchmarks.	P3R2	P3	R2
P930100028	performance	272	albania	ESAF	12.05.1998	11.05.2001	3	BOP/Reserve Test	9.30.1998	M	Midterm review: Waiver granted for nonobservance of performance criterion on establishing a 135,000 employee civil service ceiling and a workforce reduction. The waiver was granted on the basis of the corrective action taken by the authorities to fulfill the perf. crit. by end-1998.	P1R1	P1	R1
P930100029	performance	316	albania	ESAF	12.05.1998	11.05.2001	3	BOP/Reserve Test	6.30.1999	M	Midterm review: Two structural performance criteria for 9/99 waived. The draft law for privatization of the Savings Bank was submitted to parliament was sent by time of review. The sale or liquidation of all bu 50 SMEs should be met shortly.	P2R2	P2	R2
P930100030	performance	316	albania	ESAF	12.05.1998	11.05.2001	3	BOP/Reserve Test	9.30.1999	M	Midterm review: Two structural performance criteria for 9/99 waived. The draft law for privatization of the Savings Bank was submitted to parliament was sent by time of review. The sale or liquidation of all bu 50 SMEs should be met shortly.	P2R2	P2	R2
P930100031	performance	316	albania	ESAF	12.05.1998	11.05.2001	3	BOP/Reserve Test	12.31.1999		Midterm review: Two structural performance criteria for 9/99 waived. The draft law for privatization of the Savings Bank was submitted to parliament was sent by time of review. The sale or liquidation of all bu 50 SMEs should be met shortly.	P2R2	P2	R2
P930100032	performance	316	albania	ESAF	12.05.1998	11.05.2001	3	BOP/Reserve Test	3.31.2000	M	Midterm review: Two structural performance criteria for 9/99 waived. The draft law for privatization of the Savings Bank was submitted to parliament was sent by time of review. The sale or liquidation of all bu 50 SMEs should be met shortly.	P2R2	P2	R2
P930100033	performance	316	albania	ESAF	12.05.1998	11.05.2001	3	BOP/Reserve Test	6.30.2000		Midterm review: Two structural performance criteria for 9/99 waived. The draft law for privatization of the Savings Bank was submitted to parliament was sent by time of review. The sale or liquidation of all bu 50 SMEs should be met shortly.	P2R2	P2	R2
P930100034	performance	406	albania	PRGF	12.05.1998	31.07.2001	3	BOP/Reserve Test	9.30.2000	M	1st review: Waivers granted for nonobservance of three structural benchmarks.	P3R2	P3	R2
P930100035	performance	406	albania	PRGF	12.05.1998	31.07.2001	3	BOP/Reserve Test	3.31.2001	M	1st review: Waivers granted for nonobservance of three structural benchmarks.	P3R2	P3	R2
P930100036	performance	272	albania	ESAF	12.05.1998	11.05.2001	4	Med/Long-term Ext Debt Ceiling	9.30.1998	M	Midterm review: Waiver granted for nonobservance of performance criterion on establishing a 135,000 employee civil service ceiling and a workforce reduction. The waiver was granted on the basis of the corrective action taken by the authorities to fulfill the perf. crit. by end-1998.	P1R1	P1	R1
P930100037	performance	316	albania	ESAF	12.05.1998	11.05.2001	4	Med/Long-term Ext Debt Ceiling	6.30.1999	M	Midterm review: Two structural performance criteria for 9/99 waived. The draft law for privatization of the Savings Bank was submitted to parliament was sent by time of review. The sale or liquidation of all bu 50 SMEs should be met shortly.	P2R2	P2	R2
P930100038	performance	316	albania	ESAF	12.05.1998	11.05.2001	4	Med/Long-term Ext Debt Ceiling	9.30.1999	M	Midterm review: Two structural performance criteria for 9/99 waived. The draft law for privatization of the Savings Bank was submitted to parliament was sent by time of review. The sale or liquidation of all bu 50 SMEs should be met shortly.	P2R2	P2	R2
P930100039	performance	316	albania	ESAF	12.05.1998	11.05.2001	4	Med/Long-term Ext Debt Ceiling	12.31.1999		Midterm review: Two structural performance criteria for 9/99 waived. The draft law for privatization of the Savings Bank was submitted to parliament was sent by time of review. The sale or liquidation of all bu 50 SMEs should be met shortly.	P2R2	P2	R2
P930100040	performance	316	albania	ESAF	12.05.1998	11.05.2001	4	Med/Long-term Ext Debt Ceiling	3.31.2000	M	Midterm review: Two structural performance criteria for 9/99 waived. The draft law for privatization of the Savings Bank was submitted to parliament was sent by time of review. The sale or liquidation of all bu 50 SMEs should be met shortly.	P2R2	P2	R2
P930100041	performance	316	albania	ESAF	12.05.1998	11.05.2001	4	Med/Long-term Ext Debt Ceiling	6.30.2000		Midterm review: Two structural performance criteria for 9/99 waived. The draft law for privatization of the Savings Bank was submitted to parliament was sent by time of review. The sale or liquidation of all bu 50 SMEs should be met shortly.	P2R2	P2	R2
P930100042	performance	406	albania	PRGF	12.05.1998	31.07.2001	4	Med/Long-term Ext Debt Ceiling	9.30.2000	M	1st review: Waivers granted for nonobservance of three structural benchmarks.	P3R2	P3	R2
P930100043	performance	406	albania	PRGF	12.05.1998	31.07.2001	4	Med/Long-term Ext Debt Ceiling	3.31.2001	M	1st review: Waivers granted for nonobservance of three structural benchmarks.	P3R2	P3	R2
P930100044	performance	272	albania	ESAF	12.05.1998	11.05.2001	5	Med/Long-term Ext Debt-Sub Ceiling	9.30.1998	M	Midterm review: Waiver granted for nonobservance of performance criterion on establishing a 135,000 employee civil service ceiling and a workforce reduction. The waiver was granted on the basis of the corrective action taken by the authorities to fulfill the perf. crit. by end-1998.	P1R1	P1	R1
P930100045	performance	316	albania	ESAF	12.05.1998	11.05.2001	5	Med/Long-term Ext Debt-Sub Ceiling	6.30.1999	M	Midterm review: Two structural performance criteria for 9/99 waived. The draft law for privatization of the Savings Bank was submitted to parliament was sent by time of review. The sale or liquidation of all bu 50 SMEs should be met shortly.	P2R2	P2	R2
P930100046	performance	316	albania	ESAF	12.05.1998	11.05.2001	5	Med/Long-term Ext Debt-Sub Ceiling	9.30.1999	M	Midterm review: Two structural performance criteria for 9/99 waived. The draft law for privatization of the Savings Bank was submitted to parliament was sent by time of review. The sale or liquidation of all bu 50 SMEs should be met shortly.	P2R2	P2	R2
P930100047	performance	316	albania	ESAF	12.05.1998	11.05.2001	5	Med/Long-term Ext Debt-Sub Ceiling	12.31.1999		Midterm review: Two structural performance criteria for 9/99 waived. The draft law for privatization of the Savings Bank was submitted to parliament was sent by time of review. The sale or liquidation of all bu 50 SMEs should be met shortly.	P2R2	P2	R2
P930100048	performance	316	albania	ESAF	12.05.1998	11.05.2001	5	Med/Long-term Ext Debt-Sub Ceiling	3.31.2000	M	Midterm review: Two structural performance criteria for 9/99 waived. The draft law for privatization of the Savings Bank was submitted to parliament was sent by time of review. The sale or liquidation of all bu 50 SMEs should be met shortly.	P2R2	P2	R2
P930100049	performance	316	albania	ESAF	12.05.1998	11.05.2001	5	Med/Long-term Ext Debt-Sub Ceiling	6.30.2000		Midterm review: Two structural performance criteria for 9/99 waived. The draft law for privatization of the Savings Bank was submitted to parliament was sent by time of review. The sale or liquidation of all bu 50 SMEs should be met shortly.	P2R2	P2	R2
P930100050	performance	406	albania	PRGF	12.05.1998	31.07.2001	5	Med/Long-term Ext Debt-Sub Ceiling	9.30.2000	M	1st review: Waivers granted for nonobservance of three structural benchmarks.	P3R2	P3	R2
P930100051	performance	406	albania	PRGF	12.05.1998	31.07.2001	5	Med/Long-term Ext Debt-Sub Ceiling	3.31.2001	M	1st review: Waivers granted for nonobservance of three structural benchmarks.	P3R2	P3	R2
P930100052	performance	272	albania	ESAF	12.05.1998	11.05.2001	6	Short-term Debt	9.30.1998	M	Midterm review: Waiver granted for nonobservance of performance criterion on establishing a 135,000 employee civil service ceiling and a workforce reduction. The waiver was granted on the basis of the corrective action taken by the authorities to fulfill the perf. crit. by end-1998.	P1R1	P1	R1
P930100053	performance	316	albania	ESAF	12.05.1998	11.05.2001	6	Short-term Debt	6.30.1999	M	Midterm review: Two structural performance criteria for 9/99 waived. The draft law for privatization of the Savings Bank was submitted to parliament was sent by time of review. The sale or liquidation of all bu 50 SMEs should be met shortly.	P2R2	P2	R2
P930100054	performance	316	albania	ESAF	12.05.1998	11.05.2001	6	Short-term Debt	9.30.1999	M	Midterm review: Two structural performance criteria for 9/99 waived. The draft law for privatization of the Savings Bank was submitted to parliament was sent by time of review. The sale or liquidation of all bu 50 SMEs should be met shortly.	P2R2	P2	R2
P930100055	performance	316	albania	ESAF	12.05.1998	11.05.2001	6	Short-term Debt	12.31.1999		Midterm review: Two structural performance criteria for 9/99 waived. The draft law for privatization of the Savings Bank was submitted to parliament was sent by time of review. The sale or liquidation of all bu 50 SMEs should be met shortly.	P2R2	P2	R2
P930100056	performance	316	albania	ESAF	12.05.1998	11.05.2001	6	Short-term Debt	3.31.2000	M	Midterm review: Two structural performance criteria for 9/99 waived. The draft law for privatization of the Savings Bank was submitted to parliament was sent by time of review. The sale or liquidation of all bu 50 SMEs should be met shortly.	P2R2	P2	R2
P930100057	performance	316	albania	ESAF	12.05.1998	11.05.2001	6	Short-term Debt	6.30.2000		Midterm review: Two structural performance criteria for 9/99 waived. The draft law for privatization of the Savings Bank was submitted to parliament was sent by time of review. The sale or liquidation of all bu 50 SMEs should be met shortly.	P2R2	P2	R2
P930100058	performance	406	albania	PRGF	12.05.1998	31.07.2001	6	Short-term Debt	9.30.2000	M	1st review: Waivers granted for nonobservance of three structural benchmarks.	P3R2	P3	R2
