"ISO3","Year","unsc","unsc_t1","unsc3"
"AGO",2003,1,0,1
"AGO",2004,1,1,1
"GAB",2010,1,0,1
"GAB",2011,1,1,1
"GHA",2006,1,0,1
"GHA",2007,1,1,1
"KEN",2021,1,0,1
"KEN",2022,1,1,1
"RWA",2013,1,0,1
"RWA",2014,1,1,1
"RWA",2019,1,1,1
"RWA",2020,1,1,1
"TZA",2005,1,0,1
"TZA",2006,1,1,1
