programnr,Arrangement Number,Country Name,MONA Code,ISO3,Approval Year,arrtype_group,nrquarters,approvaldate,nrcondtype_pc,nrcondtype_pa,nrcondtype_sb,nrcondtype_all,avgcondtype_all,avgcondtype_pc,avgcondtype_pa,avgcondtype_sb,unsc,unsc3,unsc_t1,XDebtGNI,DebtServGNI,ResXDebt,FuelExportPct,MineralExportPct,Rohstoffabhängigkeit
23,524,KENYA,664,KEN,2003,PRGF,16,2003-11-21,36,18,48,102,6.375,2.25,1.125,3,0,0,0,54.132265895729,10.3024,22.0714590468592,19.1551044918056,2.9543556082054,22.109460100011
25,526,NEPAL,558,NPL,2003,PRGF,12,2003-11-19,23,9,33,65,5.416666666666667,1.9166666666666667,0.75,2.75,0,0,0,44.2478836156195,1.7116,40.0291042230548,0.00357579146798016,4.29431059801483,4.2978863894828105
25,526,NEPAL,558,NPL,2003,PRGF,16,2003-11-19,101,15,107,223,13.9375,6.3125,0.9375,6.6875,0,0,0,44.2478836156195,1.7116,40.0291042230548,0.00357579146798016,4.29431059801483,4.2978863894828105
26,527,NICARAGUA,278,NIC,2002,PRGF,12,2002-12-04,32,36,142,210,17.5,2.6666666666666665,3,11.833333333333334,0,0,0,58.0912844080785,8.635,7.0369086044675,1.64675180288481,0.551183282742895,2.197935085627705
26,527,NICARAGUA,278,NIC,2002,PRGF,16,2002-12-04,25,44,109,178,11.125,1.5625,2.75,6.8125,0,0,0,58.0912844080785,8.635,7.0369086044675,1.64675180288481,0.551183282742895,2.197935085627705
26,527,NICARAGUA,278,NIC,2002,PRGF,32,2002-12-04,12,22,55,89,2.78125,0.375,0.6875,1.71875,0,0,0,58.0912844080785,8.635,7.0369086044675,1.64675180288481,0.551183282742895,2.197935085627705
27,528,PARAGUAY,288,PRY,2003,EFF_SBA,5,2003-12-15,27,22,27,76,15.2,5.4,4.4,5.4,0,0,0,81.1273637701163,49.2746,14.4647397807226,49.5247503484133,0.16678446090689,49.69153480932019
27,528,PARAGUAY,288,PRY,2003,EFF_SBA,7,2003-12-15,41,42,40,123,17.571428571428573,5.857142857142857,6,5.714285714285714,0,0,0,81.1273637701163,49.2746,14.4647397807226,49.5247503484133,0.16678446090689,49.69153480932019
27,528,PARAGUAY,288,PRY,2003,EFF_SBA,8,2003-12-15,14,14,14,42,5.25,1.75,1.75,1.75,0,0,0,81.1273637701163,49.2746,14.4647397807226,49.5247503484133,0.16678446090689,49.69153480932019
28,529,RWANDA,714,RWA,2002,PRGF,12,2002-08-12,22,20,42,84,7,1.8333333333333333,1.6666666666666667,3.5,0,0,0,31.3172752974708,3.0151,16.7853483670789,0,35.088175963992,35.088175963992
