"ISO3","Year","programnr","Arrangement.Number","Country.Name","MONA.Code","arrtype_group","nrquarters","approvaldate","nrcondtype_pc","nrcondtype_pa","nrcondtype_sb","nrcondtype_all","avgcondtype_all","avgcondtype_pc","avgcondtype_pa","avgcondtype_sb","XDebtGNI","DebtServGNI","ResXDebt","FuelExportPct","MineralExportPct","Rohstoffabhängigkeit","country","unsc","unsc_t1","unsc3"
"CPV",2022,238,832,"CAPE VERDE",624,"PRGF",18,"2022-06-15",0,0,72,72,4,0,0,4,96.9941368513357,16.4615,30.3660227232231,0,0.00576283024949212,0.00576283024949212,"",0,0,0
"CPV",2022,238,832,"CAPE VERDE",624,"PRGF",12,"2022-06-15",0,0,116,116,9.66666666666667,0,0,9.66666666666667,96.9941368513357,16.4615,30.3660227232231,0,0.00576283024949212,0.00576283024949212,"",0,0,0
"GAB",2004,38,540,"GABON",646,"EFF_SBA",5,"2004-05-28",10,30,110,150,30,2,6,22,81.7675371418698,4.4504,10.9219293951205,76.1833932062393,5.50841106598959,81.6918042722289,"",0,0,0
"GAB",2007,76,579,"GABON",646,"EFF_SBA",12,"2007-05-07",24,18,52,94,7.83333333333333,2,1.5,4.33333333333333,85.1324791636578,8.6978,24.1251490739474,83.4131671985386,3.60059532421835,87.0137625227569,"",0,0,0
"GAB",2017,197,759,"GABON",646,"EFF_SBA",12,"2017-06-19",0,41,134,175,14.5833333333333,0,3.41666666666667,11.1666666666667,75.0687404456638,3.151,14.6694853489707,62.2945642697917,3.31591796865075,65.6104822384424,"",0,0,0
"GAB",2021,229,815,"GABON",646,"EFF_SBA",12,"2021-07-28",0,9,59,68,5.66666666666667,0,0.75,4.91666666666667,85.3483122054787,0.2149,16.6511067504691,52.3128650846528,6.75461904672039,59.0674841313732,"",0,0,0
"GHA",2003,20,521,"GHANA",652,"PRGF",14,"2003-05-09",41,42,65,148,10.5714285714286,2.92857142857143,3,4.64285714285714,97.2871457139532,9.1218,17.7094465886763,0.0481803318787904,2.46857072038619,2.51675105226498,"",0,0,0
"GHA",2003,20,521,"GHANA",652,"PRGF",12,"2003-05-09",17,26,36,79,6.58333333333333,1.41666666666667,2.16666666666667,3,97.2871457139532,9.1218,17.7094465886763,0.0481803318787904,2.46857072038619,2.51675105226498,"",0,0,0
"GHA",2009,108,619,"GHANA",652,"PRGF",12,"2009-07-15",0,29,147,176,14.6666666666667,0,2.41666666666667,12.25,71.5947385281523,11.6577,28.4806289961588,1.75329081764514,1.74904889698946,3.5023397146346,"",0,0,0
"GHA",2015,174,725,"GHANA",652,"PRGF",12,"2015-04-03",0,35,98,133,11.0833333333333,0,2.91666666666667,8.16666666666667,76.5212709243242,10.5541,18.3432463946771,21.7019621780148,1.53114850582018,23.233110683835,"",0,0,0
"GHA",2015,174,725,"GHANA",652,"PRGF",16,"2015-04-03",0,59,182,241,15.0625,0,3.6875,11.375,76.5212709243242,10.5541,18.3432463946771,21.7019621780148,1.53114850582018,23.233110683835,"",0,0,0
"GHA",2023,248,856,"GHANA",652,"PRGF",12,"2023-05-17",0,37,145,182,15.1666666666667,0,3.08333333333333,12.0833333333333,64.3878615301086,9.0197,8.69027246258012,24.5298166225955,3.79789972324939,28.3277163458449,"Ghana",1,1,1
"GIN",2007,79,589,"GUINEA",656,"PRGF",12,"2007-12-21",22,18,19,59,4.91666666666667,1.83333333333333,1.5,1.58333333333333,71.1210322265015,4.0248,1.41713322716656,0.864102683278354,73.4419716903088,74.3060743735872,"",0,0,0
"JOR",2002,4,505,"JORDAN",439,"EFF_SBA",8,"2002-07-03",8,12,23,43,5.375,1,1.5,2.875,114.03885781572,40.9143,31.6261918101737,0.00638352187104476,16.7360177189512,16.7424012408222,"",0,0,0
"KEN",2003,23,524,"KENYA",664,"PRGF",16,"2003-11-21",36,18,48,102,6.375,2.25,1.125,3,54.132265895729,10.3024,22.0714590468592,19.1551044918056,2.9543556082054,22.109460100011,"",0,0,0
"KEN",2003,23,524,"KENYA",664,"PRGF",12,"2003-11-21",16,10,20,46,3.83333333333333,1.33333333333333,0.833333333333333,1.66666666666667,54.132265895729,10.3024,22.0714590468592,19.1551044918056,2.9543556082054,22.109460100011,"",0,0,0
"LSO",2010,123,641,"LESOTHO",666,"PRGF",12,"2010-06-02",0,0,66,66,5.5,0,0,5.5,150.102435487333,0,188.561318067165,0.0769376796124365,0.442932312242704,0.51986999185514,"",0,0,0
"LSO",2010,123,641,"LESOTHO",666,"PRGF",14,"2010-06-02",0,0,56,56,4,0,0,4,150.102435487333,0,188.561318067165,0.0769376796124365,0.442932312242704,0.51986999185514,"",0,0,0
"MDG",2006,68,571,"MADAGASCAR",674,"PRGF",12,"2006-07-21",55,28,60,143,11.9166666666667,4.58333333333333,2.33333333333333,5,62.1028389370244,14.4483,38.1916091358978,5.51020605465603,3.60694833869441,9.11715439335044,"",0,0,0
"MDG",2016,184,742,"MADAGASCAR",674,"PRGF",15,"2016-07-27",0,9,33,42,2.8,0,0.6,2.2,60.8346984831423,6.8678,39.7637876951396,2.55520071174556,24.9275155512368,27.4827162629824,"",0,0,0
"MDG",2016,184,742,"MADAGASCAR",674,"PRGF",14,"2016-07-27",0,40,159,199,14.2142857142857,0,2.85714285714286,11.3571428571429,60.8346984831423,6.8678,39.7637876951396,2.55520071174556,24.9275155512368,27.4827162629824,"",0,0,0
"MDG",2021,225,806,"MADAGASCAR",674,"PRGF",14,"2021-03-29",0,13,109,122,8.71428571428571,0,0.928571428571429,7.78571428571429,55.2158585927485,4.3029,43.6790686321069,1.17584586276708,31.3612347027315,32.5370805654986,"",0,0,0
"MDG",2021,225,806,"MADAGASCAR",674,"PRGF",13,"2021-03-29",0,7,51,58,4.46153846153846,0,0.538461538461538,3.92307692307692,55.2158585927485,4.3029,43.6790686321069,1.17584586276708,31.3612347027315,32.5370805654986,"",0,0,0
"MDG",2024,263,887,"MADAGASCAR",674,"PRGF",12,"2024-06-21",0,15,66,81,6.75,0,1.25,5.5,57.5370213293734,1.5271,41.85063947352,2.55012561538512,32.8646357716195,35.4147613870046,"",0,0,0
"MOZ",2004,42,544,"MOZAMBIQUE",688,"PRGF",12,"2004-07-06",64,24,140,228,19,5.33333333333333,2,11.6666666666667,72.0520001612374,13.0988,19.3590661440903,12.4214437884527,61.5258863677345,73.9473301561872,"",0,0,0
"MOZ",2022,237,828,"MOZAMBIQUE",688,"PRGF",12,"2022-05-09",0,20,90,110,9.16666666666667,0,1.66666666666667,7.5,135.274535098995,2.3487,4.43318049163302,50.7186898345651,30.4675661590987,81.1862559936638,"",0,0,0
