programnr,Arrangement Number,Country Name,MONA Code,ISO3,Approval Year,arrtype_group,nrquarters,approvaldate,nrcondtype_pc,nrcondtype_pa,nrcondtype_sb,nrcondtype_all,avgcondtype_all,avgcondtype_pc,avgcondtype_pa,avgcondtype_sb,unsc,unsc3,unsc_t1,XDebtGNI,DebtServGNI,ResXDebt,FuelExportPct,MineralExportPct,Rohstoffabhängigkeit
206,773,SIERRA LEONE,724,SLE,2018,PRGF,15,2018-11-30,0,12,26,38,2.533333333333333,0,0.8,1.7333333333333334,0,0,0,37.3774603119412,10.282,27.3394520213469,0.143317650742994,19.708507181177,19.851824831919995
206,773,SIERRA LEONE,724,SLE,2018,PRGF,19,2018-11-30,0,14,57,71,3.736842105263158,0,0.7368421052631579,3,0,0,0,37.3774603119412,10.282,27.3394520213469,0.143317650742994,19.708507181177,19.851824831919995
206,773,SIERRA LEONE,724,SLE,2018,PRGF,20,2018-11-30,0,60,77,137,6.85,0,3,3.85,0,0,0,37.3774603119412,10.282,27.3394520213469,0.143317650742994,19.708507181177,19.851824831919995
207,774,ANGOLA,614,AGO,2018,EFF_SBA,12,2018-12-07,0,23,224,247,20.583333333333332,0,1.9166666666666667,18.666666666666668,0,0,0,58.2698953890633,4.5827,24.9393651478579,95.6723202169276,2.9599977992618,98.6323180161894
207,774,ANGOLA,614,AGO,2018,EFF_SBA,13,2018-12-07,0,4,57,61,4.6923076923076925,0,0.3076923076923077,4.384615384615385,0,0,0,58.2698953890633,4.5827,24.9393651478579,95.6723202169276,2.9599977992618,98.6323180161894
217,790,CENTRAL AFRICAN REPUBLIC,626,CAF,2019,PRGF,10,2019-12-20,0,5,11,16,1.6,0,0.5,1.1,0,0,0,50.0658000014868,14.3762,40.3703328528045,0.0113438958450479,4.84862130405419,4.859965199899238
217,790,CENTRAL AFRICAN REPUBLIC,626,CAF,2019,PRGF,12,2019-12-20,0,2,6,8,0.6666666666666666,0,0.16666666666666666,0.5,0,0,0,50.0658000014868,14.3762,40.3703328528045,0.0113438958450479,4.84862130405419,4.859965199899238
225,806,MADAGASCAR,674,MDG,2021,PRGF,13,2021-03-29,0,7,51,58,4.461538461538462,0,0.5384615384615384,3.923076923076923,0,0,0,55.2158585927485,4.3029,43.6790686321069,1.17584586276708,31.3612347027315,32.537080565498584
225,806,MADAGASCAR,674,MDG,2021,PRGF,14,2021-03-29,0,13,109,122,8.714285714285714,0,0.9285714285714286,7.785714285714286,0,0,0,55.2158585927485,4.3029,43.6790686321069,1.17584586276708,31.3612347027315,32.537080565498584
226,810,UGANDA,746,UGA,2021,PRGF,12,2021-06-28,0,55,145,200,16.666666666666668,0,4.583333333333333,12.083333333333334,0,0,0,41.7136307424781,8.572,23.6012010395494,3.44411222230529,0.744614230461867,4.188726452767157
229,815,GABON,646,GAB,2021,EFF_SBA,12,2021-07-28,0,9,59,68,5.666666666666667,0,0.75,4.916666666666667,0,0,0,85.3483122054787,0.2149,16.6511067504691,52.3128650846528,6.75461904672039,59.06748413137319
237,828,MOZAMBIQUE,688,MOZ,2022,PRGF,12,2022-05-09,0,20,90,110,9.166666666666666,0,1.6666666666666667,7.5,0,0,0,135.274535098995,2.3487,4.43318049163302,50.7186898345651,30.4675661590987,81.18625599366379
238,832,CAPE VERDE,624,CPV,2022,PRGF,12,2022-06-15,0,0,116,116,9.666666666666666,0,0,9.666666666666666,0,0,0,96.9941368513357,16.4615,30.3660227232231,0,0.00576283024949212,0.00576283024949212
238,832,CAPE VERDE,624,CPV,2022,PRGF,18,2022-06-15,0,0,72,72,4,0,0,4,0,0,0,96.9941368513357,16.4615,30.3660227232231,0,0.00576283024949212,0.00576283024949212
241,838,ZAMBIA,754,ZMB,2022,PRGF,13,2022-08-31,0,49,214,263,20.23076923076923,0,3.769230769230769,16.46153846153846,0,0,0,69.2973154193203,9.5849,10.4405689268511,2.81611636018103,75.6024881567735,78.41860451695453
241,838,ZAMBIA,754,ZMB,2022,PRGF,14,2022-08-31,0,12,82,94,6.714285714285714,0,0.8571428571428571,5.857142857142857,0,0,0,69.2973154193203,9.5849,10.4405689268511,2.81611636018103,75.6024881567735,78.41860451695453
248,856,GHANA,652,GHA,2023,PRGF,12,2023-05-17,0,37,145,182,15.166666666666666,0,3.0833333333333335,12.083333333333334,1,1,0,64.3878615301086,9.0197,8.69027246258012,24.5298166225955,3.79789972324939,28.32771634584489
250,859,CENTRAL AFRICAN REPUBLIC,626,CAF,2023,PRGF,13,2023-04-27,0,22,66,88,6.769230769230769,0,1.6923076923076923,5.076923076923077,0,0,0,43.480570208358,11.3823,44.2634270780256,0.00634066374558888,12.6689665953919,12.675307259137488
253,863,COMOROS,632,COM,2023,PRGF,16,2023-06-01,0,27,165,192,12,0,1.6875,10.3125,0,0,0,44.4398634497089,0.1187,85.0235095063537,0.00485457345334166,1.23197156881377,1.2368261422671116
263,887,MADAGASCAR,674,MDG,2024,PRGF,12,2024-06-21,0,15,66,81,6.75,0,1.25,5.5,0,0,0,57.5370213293734,1.5271,41.85063947352,2.55012561538512,32.8646357716195,35.41476138700462
