"ISO3","Year","total_cond","rohstoff_cond","stabil_cond","sonstige_cond","avgcondtype_all","rohstoff_cond_share","stabil_cond_share","FuelExportPct","MineralExportPct","XDebtGNI","DebtServGNI","ResXDebt","unsc","unsc_t1","unsc3","resource_dep","Rohstoffabhängigkeit","region"
"AFG",2006,288,40,177,92,0.753472222222222,0.138888888888889,0.614583333333333,NA,NA,NA,1.9553,NA,0,0,0,NA,NA,"SA"
"AFG",2011,54,5,27,26,0.592592592592593,0.0925925925925926,0.5,NA,0.305786388425507,NA,3.2314,255.283575583065,0,0,0,NA,NA,"SA"
"AFG",2016,277,21,157,117,0.642599277978339,0.075812274368231,0.566787003610108,NA,1.12452208638717,NA,13.6576,280.499616022613,0,0,0,NA,NA,"SA"
"AFG",2020,16,0,12,4,0.75,0,0.75,NA,NA,46.7098945514103,14.3132,320.681395865271,0,0,0,NA,NA,"SA"
"AGO",2009,170,0,152,18,0.894117647058824,0,0.894117647058824,97.9163484511435,2.00203147222072,102.263183257504,12.7855,67.3862436646591,0,0,0,99.9183799233642,99.9183799233642,"SSA"
"AGO",2018,308,5,193,115,0.642857142857143,0.0162337662337662,0.626623376623377,95.6723202169276,2.9599977992618,58.2698953890633,4.5827,24.9393651478579,0,0,0,98.6323180161894,98.6323180161894,"SSA"
"ALB",2002,403,23,322,58,0.856079404466501,0.0570719602977667,0.799007444168734,2.00964296137502,3.43255983968605,65.9914650336802,2.4594,73.3688144776657,0,0,0,5.44220280106107,5.44220280106107,"ECA"
"ALB",2006,361,9,275,77,0.786703601108033,0.0249307479224377,0.761772853185596,13.6870930880734,37.8643455707951,72.2019089483674,15.3488,71.995324774825,0,0,0,51.5514386588685,51.5514386588685,"ECA"
"ALB",2014,536,19,421,96,0.82089552238806,0.0354477611940298,0.78544776119403,1.56752332146237,4.58216010178408,75.0212023084129,22.0266,31.3076239405158,0,0,0,6.14968342324645,6.14968342324645,"ECA"
"ARG",2003,176,10,96,80,0.602272727272727,0.0568181818181818,0.545454545454545,17.0830633855413,3.00518542990703,40.6447480311085,13.6967,8.66192564142803,0,0,0,20.0882488154483,20.0882488154483,"LAC"
"ARG",2018,74,5,74,0,1.06756756756757,0.0675675675675676,1,4.11930419519493,0.475460975897366,30.7625359549926,24.393,23.8356244191513,0,0,0,4.5947651710923,4.5947651710923,"LAC"
"ARG",2022,390,66,285,70,0.9,0.169230769230769,0.730769230769231,6.17703046770052,0.279738031699619,31.5801792606256,19.821,17.9917815681201,0,0,0,6.45676849940014,6.45676849940014,"LAC"
