"wdicode","year","country","unsc","unsc_t1","unsc3"
"AGO",2002,"",0,0,0
"BDI",2002,"",0,0,0
"BEN",2002,"",0,0,0
"BFA",2002,"",0,0,0
"CAF",2002,"",0,0,0
"CIV",2002,"",0,0,0
"CMR",2002,"Cameroon",1,0,1
"COD",2002,"",0,0,0
"COG",2002,"",0,0,0
"COM",2002,"",0,0,0
"CPV",2002,"",0,0,0
"DJI",2002,"",0,0,0
"EGY",2002,"",0,0,0
"ETH",2002,"",0,0,0
"GAB",2002,"",0,0,0
"GHA",2002,"",0,0,0
"GIN",2002,"Guinea",1,0,1
"GMB",2002,"",0,0,0
"GNB",2002,"",0,0,0
"GNQ",2002,"",0,0,0
"IRQ",2002,"",0,0,0
"JOR",2002,"",0,0,0
"KEN",2002,"",0,0,0
"LBR",2002,"",0,0,0
"LSO",2002,"",0,0,0
"MDG",2002,"",0,0,0
"MLI",2002,"",0,0,0
"MOZ",2002,"",0,0,0
"MRT",2002,"",0,0,0
"MWI",2002,"",0,0,0
"NER",2002,"",0,0,0
"NGA",2002,"",0,0,0
"RWA",2002,"",0,0,0
"SDN",2002,"",0,0,0
"SEN",2002,"",0,0,0
"SLE",2002,"",0,0,0
"SLV",2002,"",0,0,0
"SOM",2002,"",0,0,0
"STP",2002,"",0,0,0
"SUR",2002,"",0,0,0
"TCD",2002,"",0,0,0
"TGO",2002,"",0,0,0
"TUN",2002,"",0,0,0
"TZA",2002,"",0,0,0
"UGA",2002,"",0,0,0
"YEM",2002,"",0,0,0
"ZMB",2002,"",0,0,0
"AGO",2003,"Angola",1,0,1
"BDI",2003,"",0,0,0
"BEN",2003,"",0,0,0
"BFA",2003,"",0,0,0
"CAF",2003,"",0,0,0
"CIV",2003,"",0,0,0
"CMR",2003,"Cameroon",1,1,1
"COD",2003,"",0,0,0
"COG",2003,"",0,0,0
"COM",2003,"",0,0,0
"CPV",2003,"",0,0,0
"DJI",2003,"",0,0,0
"EGY",2003,"",0,0,0
"ETH",2003,"",0,0,0
"GAB",2003,"",0,0,0
"GHA",2003,"",0,0,0
"GIN",2003,"Guinea",1,1,1
"GMB",2003,"",0,0,0
"GNB",2003,"",0,0,0
