"Modell","n_obs","unsc_coef","unsc_p","resource_coef","interaction_coef","interaction_p"
"H1 (Basis)",204,0.0450522117080128,0.276738213271163,NA,NA,NA
"H2 (unsc3 x resource_dep)",158,-0.0031166427672538,0.973427336499058,-0.00115613075197771,0.00122163313169389,0.599143446116411
"H3 (regionale Interaktionen)",158,0.00836710370048577,0.957766481551089,0.340114377294697,0.0016803282810654,0.593689262769062
"H4 (rohstoff_cond_share)",158,-0.00517993774436636,0.888288480734366,0.00160212949313145,0.00018392418933405,0.869146031850363
