"Model","UNSC3 coef","UNSC3 p","UNSC3 x Resource coef","UNSC3 x Resource p","Resource coef","Resource p","BP p","White p"
"Pooled OLS",-0.0162075719549234,0.854232092270608,0.00193358989257356,0.448895629955519,0.00152523819170907,0.0242421575624912,0.419790329846035,0.41831899397125
"OLS + Year FE",-0.0321229323290373,0.725053357013183,0.00197752043460269,0.458822304398082,0.00156644679416331,0.030344285951169,0.767878924837643,0.698128667973169
"OLS + Country + Year FE",-0.0031166427682159,0.97315600862222,0.00122163313171337,0.648734312255141,-0.00115613075197911,0.525308803294797,0.0909033322445987,0.838029694893212
"FE Main Model (hetero SE)",-0.00311664276725383,0.973427336499058,0.00122163313169389,0.59914344611641,-0.00115613075197771,0.491529352607703,NA,NA
