id,year,security_council_member,last_update
727,1999,Russian Federation,2026-07-02
728,1999,Slovenia,2026-07-02
729,1999,United Kingdom of Great Britain and Northern Ireland,2026-07-02
730,1999,United States of America,2026-07-02
731,2000,Argentina,2026-07-02
732,2000,Bangladesh,2026-07-02
733,2000,Canada,2026-07-02
734,2000,China,2026-07-02
735,2000,France,2026-07-02
736,2000,Jamaica,2026-07-02
737,2000,Malaysia,2026-07-02
738,2000,Mali,2026-07-02
739,2000,Namibia,2026-07-02
740,2000,Netherlands,2026-07-02
741,2000,Russian Federation,2026-07-02
742,2000,Tunisia,2026-07-02
743,2000,Ukraine,2026-07-02
744,2000,United Kingdom of Great Britain and Northern Ireland,2026-07-02
745,2000,United States of America,2026-07-02
746,2001,Bangladesh,2026-07-02
747,2001,China,2026-07-02
748,2001,Colombia,2026-07-02
749,2001,France,2026-07-02
750,2001,Ireland,2026-07-02
751,2001,Jamaica,2026-07-02
752,2001,Mali,2026-07-02
753,2001,Mauritius,2026-07-02
754,2001,Norway,2026-07-02
755,2001,Russian Federation,2026-07-02
756,2001,Singapore,2026-07-02
757,2001,Tunisia,2026-07-02
758,2001,Ukraine,2026-07-02
759,2001,United Kingdom of Great Britain and Northern Ireland,2026-07-02
760,2001,United States of America,2026-07-02
761,2002,Bulgaria,2026-07-02
762,2002,Cameroon,2026-07-02
763,2002,China,2026-07-02
764,2002,Colombia,2026-07-02
765,2002,France,2026-07-02
766,2002,Guinea,2026-07-02
767,2002,Ireland,2026-07-02
768,2002,Mauritius,2026-07-02
769,2002,Mexico,2026-07-02
770,2002,Norway,2026-07-02
771,2002,Russian Federation,2026-07-02
772,2002,Singapore,2026-07-02
773,2002,Syrian Arab Republic,2026-07-02
774,2002,United Kingdom of Great Britain and Northern Ireland,2026-07-02
775,2002,United States of America,2026-07-02
776,2003,Angola,2026-07-02
777,2003,Bulgaria,2026-07-02
778,2003,Cameroon,2026-07-02
779,2003,Chile,2026-07-02
780,2003,China,2026-07-02
781,2003,France,2026-07-02
782,2003,Germany,2026-07-02
783,2003,Guinea,2026-07-02
784,2003,Mexico,2026-07-02
785,2003,Pakistan,2026-07-02
786,2003,Russian Federation,2026-07-02
787,2003,Spain,2026-07-02
788,2003,Syrian Arab Republic,2026-07-02
789,2003,United Kingdom of Great Britain and Northern Ireland,2026-07-02
790,2003,United States of America,2026-07-02
791,2004,Algeria,2026-07-02
792,2004,Angola,2026-07-02
793,2004,Benin,2026-07-02
794,2004,Brazil,2026-07-02
795,2004,Chile,2026-07-02
796,2004,China,2026-07-02
797,2004,France,2026-07-02
798,2004,Germany,2026-07-02
799,2004,Pakistan,2026-07-02
800,2004,Philippines,2026-07-02
801,2004,Romania,2026-07-02
802,2004,Russian Federation,2026-07-02
803,2004,Spain,2026-07-02
804,2004,United Kingdom of Great Britain and Northern Ireland,2026-07-02
805,2004,United States of America,2026-07-02
806,2005,Algeria,2026-07-02
807,2005,Argentina,2026-07-02
808,2005,Benin,2026-07-02
809,2005,Brazil,2026-07-02
810,2005,China,2026-07-02
811,2005,Denmark,2026-07-02
812,2005,France,2026-07-02
813,2005,Greece,2026-07-02
814,2005,Japan,2026-07-02
815,2005,Philippines,2026-07-02
816,2005,Romania,2026-07-02
817,2005,Russian Federation,2026-07-02
818,2005,United Republic of Tanzania,2026-07-02
819,2005,United Kingdom of Great Britain and Northern Ireland,2026-07-02
820,2005,United States of America,2026-07-02
821,2006,Argentina,2026-07-02
822,2006,China,2026-07-02
823,2006,Congo,2026-07-02
824,2006,Denmark,2026-07-02
825,2006,France,2026-07-02
826,2006,Ghana,2026-07-02
827,2006,Greece,2026-07-02
828,2006,Japan,2026-07-02
829,2006,Peru,2026-07-02
830,2006,Qatar,2026-07-02
831,2006,Russian Federation,2026-07-02
832,2006,Slovakia,2026-07-02
833,2006,United Republic of Tanzania,2026-07-02
834,2006,United Kingdom of Great Britain and Northern Ireland,2026-07-02
835,2006,United States of America,2026-07-02
836,2007,Belgium,2026-07-02
837,2007,China,2026-07-02
838,2007,Congo,2026-07-02
839,2007,France,2026-07-02
840,2007,Ghana,2026-07-02
841,2007,Indonesia,2026-07-02
842,2007,Italy,2026-07-02
843,2007,Panama,2026-07-02
844,2007,Peru,2026-07-02
845,2007,Qatar,2026-07-02
846,2007,Russian Federation,2026-07-02
847,2007,Slovakia,2026-07-02
848,2007,South Africa,2026-07-02
849,2007,United Kingdom of Great Britain and Northern Ireland,2026-07-02
850,2007,United States of America,2026-07-02
851,2008,Belgium,2026-07-02
852,2008,Burkina Faso,2026-07-02
853,2008,China,2026-07-02
854,2008,Costa Rica,2026-07-02
855,2008,Croatia,2026-07-02
856,2008,France,2026-07-02
857,2008,Indonesia,2026-07-02
858,2008,Italy,2026-07-02
859,2008,Libya,2026-07-02
860,2008,Panama,2026-07-02
861,2008,Russian Federation,2026-07-02
862,2008,South Africa,2026-07-02
863,2008,United Kingdom of Great Britain and Northern Ireland,2026-07-02
864,2008,United States of America,2026-07-02
865,2008,Viet Nam,2026-07-02
866,2009,Austria,2026-07-02
867,2009,Burkina Faso,2026-07-02
868,2009,China,2026-07-02
869,2009,Costa Rica,2026-07-02
870,2009,Croatia,2026-07-02
871,2009,France,2026-07-02
872,2009,Japan,2026-07-02
873,2009,Libya,2026-07-02
874,2009,Mexico,2026-07-02
875,2009,Russian Federation,2026-07-02
876,2009,Türkiye,2026-07-02
877,2009,Uganda,2026-07-02
878,2009,United Kingdom of Great Britain and Northern Ireland,2026-07-02
879,2009,United States of America,2026-07-02
880,2009,Viet Nam,2026-07-02
881,2010,Austria,2026-07-02
882,2010,Bosnia and Herzegovina,2026-07-02
883,2010,Brazil,2026-07-02
884,2010,China,2026-07-02
885,2010,France,2026-07-02
886,2010,Gabon,2026-07-02
887,2010,Japan,2026-07-02
888,2010,Lebanon,2026-07-02
889,2010,Mexico,2026-07-02
890,2010,Nigeria,2026-07-02
891,2010,Russian Federation,2026-07-02
892,2010,Türkiye,2026-07-02
893,2010,Uganda,2026-07-02
894,2010,United Kingdom of Great Britain and Northern Ireland,2026-07-02
895,2010,United States of America,2026-07-02
896,2011,Bosnia and Herzegovina,2026-07-02
897,2011,Brazil,2026-07-02
898,2011,China,2026-07-02
899,2011,Colombia,2026-07-02
900,2011,France,2026-07-02
901,2011,Gabon,2026-07-02
902,2011,Germany,2026-07-02
903,2011,India,2026-07-02
904,2011,Lebanon,2026-07-02
905,2011,Nigeria,2026-07-02
906,2011,Portugal,2026-07-02
907,2011,Russian Federation,2026-07-02
908,2011,South Africa,2026-07-02
909,2011,United Kingdom of Great Britain and Northern Ireland,2026-07-02
910,2011,United States of America,2026-07-02
911,2012,Azerbaijan,2026-07-02
912,2012,China,2026-07-02
913,2012,Colombia,2026-07-02
914,2012,France,2026-07-02
915,2012,Germany,2026-07-02
916,2012,Guatemala,2026-07-02
917,2012,India,2026-07-02
918,2012,Morocco,2026-07-02
919,2012,Pakistan,2026-07-02
920,2012,Portugal,2026-07-02
921,2012,Russian Federation,2026-07-02
922,2012,South Africa,2026-07-02
923,2012,Togo,2026-07-02
924,2012,United Kingdom of Great Britain and Northern Ireland,2026-07-02
925,2012,United States of America,2026-07-02
926,2013,Argentina,2026-07-02
927,2013,Australia,2026-07-02
928,2013,Azerbaijan,2026-07-02
929,2013,China,2026-07-02
930,2013,France,2026-07-02
931,2013,Guatemala,2026-07-02
932,2013,Luxembourg,2026-07-02
933,2013,Morocco,2026-07-02
934,2013,Pakistan,2026-07-02
935,2013,Republic of Korea,2026-07-02
936,2013,Russian Federation,2026-07-02
937,2013,Rwanda,2026-07-02
938,2013,Togo,2026-07-02
939,2013,United Kingdom of Great Britain and Northern Ireland,2026-07-02
940,2013,United States of America,2026-07-02
941,2014,Argentina,2026-07-02
942,2014,Australia,2026-07-02
943,2014,Chad,2026-07-02
944,2014,Chile,2026-07-02
945,2014,China,2026-07-02
946,2014,France,2026-07-02
947,2014,Jordan,2026-07-02
948,2014,Lithuania,2026-07-02
949,2014,Luxembourg,2026-07-02
950,2014,Nigeria,2026-07-02
951,2014,Republic of Korea,2026-07-02
952,2014,Russian Federation,2026-07-02
953,2014,Rwanda,2026-07-02
954,2014,United Kingdom of Great Britain and Northern Ireland,2026-07-02
955,2014,United States of America,2026-07-02
956,2015,Angola,2026-07-02
957,2015,Chad,2026-07-02
958,2015,Chile,2026-07-02
959,2015,China,2026-07-02
960,2015,France,2026-07-02
961,2015,Jordan,2026-07-02
962,2015,Lithuania,2026-07-02
963,2015,Malaysia,2026-07-02
964,2015,New Zealand,2026-07-02
965,2015,Nigeria,2026-07-02
966,2015,Russian Federation,2026-07-02
967,2015,Spain,2026-07-02
968,2015,United Kingdom of Great Britain and Northern Ireland,2026-07-02
969,2015,United States of America,2026-07-02
970,2015,Venezuela (Bolivarian Republic of),2026-07-02
971,2016,Angola,2026-07-02
972,2016,China,2026-07-02
973,2016,Egypt,2026-07-02
974,2016,France,2026-07-02
975,2016,Japan,2026-07-02
976,2016,Malaysia,2026-07-02
977,2016,New Zealand,2026-07-02
978,2016,Russian Federation,2026-07-02
979,2016,Senegal,2026-07-02
980,2016,Spain,2026-07-02
981,2016,Ukraine,2026-07-02
982,2016,United Kingdom of Great Britain and Northern Ireland,2026-07-02
983,2016,United States of America,2026-07-02
984,2016,Uruguay,2026-07-02
985,2016,Venezuela (Bolivarian Republic of),2026-07-02
986,2017,Bolivia (Plurinational State of),2026-07-02
987,2017,China,2026-07-02
988,2017,Egypt,2026-07-02
989,2017,Ethiopia,2026-07-02
990,2017,France,2026-07-02
991,2017,Italy,2026-07-02
992,2017,Japan,2026-07-02
993,2017,Kazakhstan,2026-07-02
994,2017,Russian Federation,2026-07-02
995,2017,Senegal,2026-07-02
996,2017,Sweden,2026-07-02
997,2017,Ukraine,2026-07-02
998,2017,United Kingdom of Great Britain and Northern Ireland,2026-07-02
999,2017,United States of America,2026-07-02
1000,2017,Uruguay,2026-07-02
1001,2018,Bolivia (Plurinational State of),2026-07-02
1002,2018,China,2026-07-02
1003,2018,,2026-07-02
1004,2018,Equatorial Guinea,2026-07-02
1005,2018,Ethiopia,2026-07-02
1006,2018,France,2026-07-02
1007,2018,Kazakhstan,2026-07-02
1008,2018,Kuwait,2026-07-02
1009,2018,Netherlands,2026-07-02
1010,2018,Peru,2026-07-02
1011,2018,Poland,2026-07-02
1012,2018,Russian Federation,2026-07-02
1013,2018,Sweden,2026-07-02
1014,2018,United Kingdom of Great Britain and Northern Ireland,2026-07-02
1015,2018,United States of America,2026-07-02
1016,2019,Belgium,2026-07-02
1017,2019,China,2026-07-02
1018,2019,,2026-07-02
1019,2019,Dominican Republic,2026-07-02
1020,2019,Equatorial Guinea,2026-07-02
1021,2019,France,2026-07-02
1022,2019,Germany,2026-07-02
1023,2019,Indonesia,2026-07-02
1024,2019,Kuwait,2026-07-02
1025,2019,Peru,2026-07-02
1026,2019,Poland,2026-07-02
1027,2019,Russian Federation,2026-07-02
1028,2019,South Africa,2026-07-02
1029,2019,United Kingdom of Great Britain and Northern Ireland,2026-07-02
1030,2019,United States of America,2026-07-02
1031,2020,Belgium,2026-07-02
1032,2020,China,2026-07-02
1033,2020,Dominican Republic,2026-07-02
1034,2020,Estonia,2026-07-02
1035,2020,France,2026-07-02
1036,2020,Germany,2026-07-02
1037,2020,Indonesia,2026-07-02
1038,2020,Niger,2026-07-02
1039,2020,Russian Federation,2026-07-02
1040,2020,Saint Vincent and the Grenadines,2026-07-02
1041,2020,South Africa,2026-07-02
1042,2020,Tunisia,2026-07-02
1043,2020,United Kingdom of Great Britain and Northern Ireland,2026-07-02
1044,2020,United States of America,2026-07-02
1045,2020,Viet Nam,2026-07-02
1046,2021,China,2026-07-02
1047,2021,Estonia,2026-07-02
1048,2021,France,2026-07-02
1049,2021,India,2026-07-02
1050,2021,Ireland,2026-07-02
1051,2021,Kenya,2026-07-02
1052,2021,Mexico,2026-07-02
1053,2021,Niger,2026-07-02
1054,2021,Norway,2026-07-02
1055,2021,Russian Federation,2026-07-02
1056,2021,Saint Vincent and the Grenadines,2026-07-02
1057,2021,Tunisia,2026-07-02
1058,2021,United Kingdom of Great Britain and Northern Ireland,2026-07-02
1059,2021,United States of America,2026-07-02
1060,2021,Viet Nam,2026-07-02
1061,2022,China,2026-07-02
1062,2022,France,2026-07-02
1063,2022,India,2026-07-02
1064,2022,Ireland,2026-07-02
1065,2022,Kenya,2026-07-02
1066,2022,Mexico,2026-07-02
1067,2022,Norway,2026-07-02
1068,2022,Russian Federation,2026-07-02
1069,2022,United Kingdom of Great Britain and Northern Ireland,2026-07-02
1070,2022,United States of America,2026-07-02
1071,2022,United Arab Emirates,2026-07-02
1072,2022,Brazil,2026-07-02
1073,2022,Gabon,2026-07-02
1074,2022,Ghana,2026-07-02
1075,2022,Albania,2026-07-02
1076,2023,Albania,2026-07-02
1077,2023,Brazil,2026-07-02
1078,2023,Gabon,2026-07-02
1079,2023,Ghana,2026-07-02
1080,2023,United Arab Emirates,2026-07-02
1081,2023,United States of America,2026-07-02
1082,2023,United Kingdom of Great Britain and Northern Ireland,2026-07-02
1083,2023,Russian Federation,2026-07-02
1084,2023,France,2026-07-02
1085,2023,China,2026-07-02
1086,2023,Ecuador,2026-07-02
1087,2023,Japan,2026-07-02
1088,2023,Malta,2026-07-02
1089,2023,Mozambique,2026-07-02
1090,2023,Switzerland,2026-07-02
1091,2024,Algeria,2026-07-02
1092,2024,Guyana,2026-07-02
1093,2024,Republic of Korea,2026-07-02
1094,2024,Sierra Leone,2026-07-02
1095,2024,Slovenia,2026-07-02
1096,2024,China,2026-07-02
1097,2024,France,2026-07-02
1098,2024,Russian Federation,2026-07-02
1099,2024,United Kingdom of Great Britain and Northern Ireland,2026-07-02
1100,2024,United States of America,2026-07-02
1101,2024,Mozambique,2026-07-02
1102,2024,Ecuador,2026-07-02
1103,2024,Japan,2026-07-02
1104,2024,Malta,2026-07-02
1105,2024,Switzerland,2026-07-02
1106,2025,Algeria,2026-07-02
1107,2025,China,2026-07-02
1108,2025,Denmark,2026-07-02
1109,2025,France,2026-07-02
1110,2025,Greece,2026-07-02
1111,2025,Guyana,2026-07-02
1112,2025,Pakistan,2026-07-02
1113,2025,Panama,2026-07-02
1114,2025,Republic of Korea,2026-07-02
1115,2025,Russian Federation,2026-07-02
1116,2025,Sierra Leone,2026-07-02
1117,2025,Slovenia,2026-07-02
1118,2025,Somalia,2026-07-02
1119,2025,United Kingdom of Great Britain and Northern Ireland,2026-07-02
1120,2025,United States of America,2026-07-02
1121,2026,Bahrain,2026-07-02
1122,2026,Colombia,2026-07-02
1123,2026,Latvia,2026-07-02
1124,2026,Liberia,2026-07-02
1125,2026,Denmark,2026-07-02
1126,2026,Greece,2026-07-02
1127,2026,Pakistan,2026-07-02
1128,2026,Panama,2026-07-02
1129,2026,Somalia,2026-07-02
1130,2026,United States of America,2026-07-02
1131,2026,United Kingdom of Great Britain and Northern Ireland,2026-07-02
1132,2026,Russian Federation,2026-07-02
1133,2026,France,2026-07-02
1134,2026,China,2026-07-02
1135,2026,,2026-07-02
1136,2027,Austria,2026-07-02
1137,2027,Portugal,2026-07-02
1138,2027,Zimbabwe,2026-07-02
1139,2027,Kyrgyzstan,2026-07-02
1140,2027,Trinidad and Tobago,2026-07-02
1141,2027,China,2026-07-02
1142,2027,Russian Federation,2026-07-02
1143,2027,United States of America,2026-07-02
1144,2027,United Kingdom of Great Britain and Northern Ireland,2026-07-02
1145,2027,France,2026-07-02
1146,2027,Colombia,2026-07-02
1147,2027,Bahrain,2026-07-02
1148,2027,,2026-07-02
1149,2027,Latvia,2026-07-02
1150,2027,Liberia,2026-07-02
