id,year,security_council_member,last_update
163,1960,United Kingdom of Great Britain and Northern Ireland,2026-07-02
164,1960,United States of America,2026-07-02
165,1960,USSR (Union of Soviet Socialist Republics),2026-07-02
166,1961,Sri Lanka,2026-07-02
167,1961,Chile,2026-07-02
168,1961,China,2026-07-02
169,1961,Ecuador,2026-07-02
170,1961,France,2026-07-02
171,1961,Liberia,2026-07-02
172,1961,Türkiye,2026-07-02
173,1961,United Arab Republic,2026-07-02
174,1961,United Kingdom of Great Britain and Northern Ireland,2026-07-02
175,1961,United States of America,2026-07-02
176,1961,USSR (Union of Soviet Socialist Republics),2026-07-02
177,1962,Chile,2026-07-02
178,1962,China,2026-07-02
179,1962,France,2026-07-02
180,1962,Ghana,2026-07-02
181,1962,Ireland,2026-07-02
182,1962,Romania,2026-07-02
183,1962,United Arab Republic,2026-07-02
184,1962,United Kingdom of Great Britain and Northern Ireland,2026-07-02
185,1962,United States of America,2026-07-02
186,1962,USSR (Union of Soviet Socialist Republics),2026-07-02
187,1962,Venezuela (Bolivarian Republic of),2026-07-02
188,1963,Brazil,2026-07-02
189,1963,China,2026-07-02
190,1963,France,2026-07-02
191,1963,Ghana,2026-07-02
192,1963,Morocco,2026-07-02
193,1963,Norway,2026-07-02
194,1963,Philippines,2026-07-02
195,1963,United Kingdom of Great Britain and Northern Ireland,2026-07-02
196,1963,United States of America,2026-07-02
197,1963,USSR (Union of Soviet Socialist Republics),2026-07-02
198,1963,Venezuela (Bolivarian Republic of),2026-07-02
199,1964,Bolivia (Plurinational State of),2026-07-02
200,1964,Brazil,2026-07-02
201,1964,China,2026-07-02
202,1964,,2026-07-02
203,1964,Czechoslovakia,2026-07-02
204,1964,France,2026-07-02
205,1964,Morocco,2026-07-02
206,1964,Norway,2026-07-02
207,1964,United Kingdom of Great Britain and Northern Ireland,2026-07-02
208,1964,United States of America,2026-07-02
209,1964,USSR (Union of Soviet Socialist Republics),2026-07-02
210,1965,Bolivia (Plurinational State of),2026-07-02
211,1965,China,2026-07-02
212,1965,,2026-07-02
213,1965,France,2026-07-02
214,1965,Jordan,2026-07-02
215,1965,Malaysia,2026-07-02
216,1965,Netherlands,2026-07-02
217,1965,United Kingdom of Great Britain and Northern Ireland,2026-07-02
218,1965,United States of America,2026-07-02
219,1965,Uruguay,2026-07-02
220,1965,USSR (Union of Soviet Socialist Republics),2026-07-02
221,1966,Argentina,2026-07-02
222,1966,Bulgaria,2026-07-02
223,1966,China,2026-07-02
224,1966,France,2026-07-02
225,1966,Japan,2026-07-02
226,1966,Jordan,2026-07-02
227,1966,Mali,2026-07-02
228,1966,Netherlands,2026-07-02
229,1966,New Zealand,2026-07-02
230,1966,Nigeria,2026-07-02
231,1966,Uganda,2026-07-02
232,1966,United Kingdom of Great Britain and Northern Ireland,2026-07-02
233,1966,United States of America,2026-07-02
234,1966,Uruguay,2026-07-02
235,1966,USSR (Union of Soviet Socialist Republics),2026-07-02
236,1967,Argentina,2026-07-02
237,1967,Brazil,2026-07-02
238,1967,Bulgaria,2026-07-02
239,1967,Canada,2026-07-02
240,1967,China,2026-07-02
241,1967,Denmark,2026-07-02
242,1967,Ethiopia,2026-07-02
243,1967,France,2026-07-02
244,1967,India,2026-07-02
245,1967,Japan,2026-07-02
246,1967,Mali,2026-07-02
247,1967,Nigeria,2026-07-02
248,1967,United Kingdom of Great Britain and Northern Ireland,2026-07-02
249,1967,United States of America,2026-07-02
250,1967,USSR (Union of Soviet Socialist Republics),2026-07-02
251,1968,Algeria,2026-07-02
252,1968,Brazil,2026-07-02
253,1968,Canada,2026-07-02
254,1968,China,2026-07-02
255,1968,Denmark,2026-07-02
256,1968,Ethiopia,2026-07-02
257,1968,France,2026-07-02
258,1968,Hungary,2026-07-02
259,1968,India,2026-07-02
260,1968,Pakistan,2026-07-02
261,1968,Paraguay,2026-07-02
262,1968,Senegal,2026-07-02
263,1968,United Kingdom of Great Britain and Northern Ireland,2026-07-02
264,1968,United States of America,2026-07-02
265,1968,USSR (Union of Soviet Socialist Republics),2026-07-02
266,1969,Algeria,2026-07-02
267,1969,China,2026-07-02
268,1969,Colombia,2026-07-02
269,1969,Finland,2026-07-02
270,1969,France,2026-07-02
271,1969,Hungary,2026-07-02
272,1969,Nepal,2026-07-02
273,1969,Pakistan,2026-07-02
274,1969,Paraguay,2026-07-02
275,1969,Senegal,2026-07-02
276,1969,Spain,2026-07-02
277,1969,United Kingdom of Great Britain and Northern Ireland,2026-07-02
278,1969,United States of America,2026-07-02
279,1969,USSR (Union of Soviet Socialist Republics),2026-07-02
280,1969,Zambia,2026-07-02
281,1970,Burundi,2026-07-02
282,1970,China,2026-07-02
283,1970,Colombia,2026-07-02
284,1970,Finland,2026-07-02
285,1970,France,2026-07-02
286,1970,Nepal,2026-07-02
287,1970,Nicaragua,2026-07-02
288,1970,Poland,2026-07-02
289,1970,Sierra Leone,2026-07-02
290,1970,Spain,2026-07-02
291,1970,Syrian Arab Republic,2026-07-02
292,1970,United Kingdom of Great Britain and Northern Ireland,2026-07-02
293,1970,United States of America,2026-07-02
294,1970,USSR (Union of Soviet Socialist Republics),2026-07-02
295,1970,Zambia,2026-07-02
296,1971,Argentina,2026-07-02
297,1971,Belgium,2026-07-02
298,1971,Burundi,2026-07-02
299,1971,China,2026-07-02
300,1971,France,2026-07-02
301,1971,Italy,2026-07-02
302,1971,Japan,2026-07-02
303,1971,Nicaragua,2026-07-02
304,1971,Poland,2026-07-02
305,1971,Sierra Leone,2026-07-02
306,1971,Somalia,2026-07-02
307,1971,Syrian Arab Republic,2026-07-02
308,1971,United Kingdom of Great Britain and Northern Ireland,2026-07-02
309,1971,United States of America,2026-07-02
310,1971,USSR (Union of Soviet Socialist Republics),2026-07-02
311,1972,Argentina,2026-07-02
312,1972,Belgium,2026-07-02
313,1972,China,2026-07-02
314,1972,France,2026-07-02
315,1972,Guinea,2026-07-02
316,1972,India,2026-07-02
317,1972,Italy,2026-07-02
318,1972,Japan,2026-07-02
319,1972,Panama,2026-07-02
320,1972,Somalia,2026-07-02
321,1972,Sudan,2026-07-02
322,1972,United Kingdom of Great Britain and Northern Ireland,2026-07-02
323,1972,United States of America,2026-07-02
324,1972,USSR (Union of Soviet Socialist Republics),2026-07-02
325,1972,Yugoslavia,2026-07-02
326,1973,Australia,2026-07-02
327,1973,Austria,2026-07-02
328,1973,China,2026-07-02
329,1973,France,2026-07-02
330,1973,Guinea,2026-07-02
331,1973,India,2026-07-02
332,1973,Indonesia,2026-07-02
333,1973,Kenya,2026-07-02
334,1973,Panama,2026-07-02
335,1973,Peru,2026-07-02
336,1973,Sudan,2026-07-02
337,1973,United Kingdom of Great Britain and Northern Ireland,2026-07-02
338,1973,United States of America,2026-07-02
339,1973,USSR (Union of Soviet Socialist Republics),2026-07-02
340,1973,Yugoslavia,2026-07-02
341,1974,Australia,2026-07-02
342,1974,Austria,2026-07-02
343,1974,Belarus,2026-07-02
344,1974,Cameroon,2026-07-02
345,1974,China,2026-07-02
346,1974,Costa Rica,2026-07-02
347,1974,France,2026-07-02
348,1974,Indonesia,2026-07-02
349,1974,Iraq,2026-07-02
350,1974,Kenya,2026-07-02
351,1974,Mauritania,2026-07-02
352,1974,Peru,2026-07-02
353,1974,United Kingdom of Great Britain and Northern Ireland,2026-07-02
354,1974,United States of America,2026-07-02
355,1974,USSR (Union of Soviet Socialist Republics),2026-07-02
356,1975,Belarus,2026-07-02
357,1975,Cameroon,2026-07-02
358,1975,China,2026-07-02
359,1975,Costa Rica,2026-07-02
360,1975,France,2026-07-02
361,1975,Guyana,2026-07-02
362,1975,Iraq,2026-07-02
363,1975,Italy,2026-07-02
364,1975,Japan,2026-07-02
365,1975,Mauritania,2026-07-02
366,1975,Sweden,2026-07-02
367,1975,United Republic of Tanzania,2026-07-02
368,1975,United Kingdom of Great Britain and Northern Ireland,2026-07-02
369,1975,United States of America,2026-07-02
370,1975,USSR (Union of Soviet Socialist Republics),2026-07-02
371,1976,Benin,2026-07-02
372,1976,China,2026-07-02
373,1976,France,2026-07-02
374,1976,Guyana,2026-07-02
375,1976,Italy,2026-07-02
376,1976,Japan,2026-07-02
377,1976,Libya,2026-07-02
378,1976,Pakistan,2026-07-02
379,1976,Panama,2026-07-02
380,1976,Romania,2026-07-02
381,1976,Sweden,2026-07-02
382,1976,United Republic of Tanzania,2026-07-02
383,1976,United Kingdom of Great Britain and Northern Ireland,2026-07-02
384,1976,United States of America,2026-07-02
385,1976,USSR (Union of Soviet Socialist Republics),2026-07-02
386,1977,Benin,2026-07-02
387,1977,Canada,2026-07-02
388,1977,China,2026-07-02
389,1977,France,2026-07-02
390,1977,German FR (German Federal Republic),2026-07-02
391,1977,India,2026-07-02
392,1977,Libya,2026-07-02
393,1977,Mauritius,2026-07-02
394,1977,Pakistan,2026-07-02
395,1977,Panama,2026-07-02
396,1977,Romania,2026-07-02
397,1977,United Kingdom of Great Britain and Northern Ireland,2026-07-02
398,1977,United States of America,2026-07-02
399,1977,USSR (Union of Soviet Socialist Republics),2026-07-02
400,1977,Venezuela (Bolivarian Republic of),2026-07-02
401,1978,Bolivia (Plurinational State of),2026-07-02
402,1978,Canada,2026-07-02
403,1978,China,2026-07-02
404,1978,Czechoslovakia,2026-07-02
405,1978,France,2026-07-02
406,1978,Gabon,2026-07-02
407,1978,German FR (German Federal Republic),2026-07-02
408,1978,India,2026-07-02
409,1978,Kuwait,2026-07-02
410,1978,Mauritius,2026-07-02
411,1978,Nigeria,2026-07-02
412,1978,United Kingdom of Great Britain and Northern Ireland,2026-07-02
413,1978,United States of America,2026-07-02
414,1978,USSR (Union of Soviet Socialist Republics),2026-07-02
415,1978,Venezuela (Bolivarian Republic of),2026-07-02
416,1979,Bangladesh,2026-07-02
417,1979,Bolivia (Plurinational State of),2026-07-02
418,1979,China,2026-07-02
419,1979,Czechoslovakia,2026-07-02
420,1979,France,2026-07-02
421,1979,Gabon,2026-07-02
422,1979,Jamaica,2026-07-02
423,1979,Kuwait,2026-07-02
424,1979,Nigeria,2026-07-02
425,1979,Norway,2026-07-02
426,1979,Portugal,2026-07-02
427,1979,United Kingdom of Great Britain and Northern Ireland,2026-07-02
428,1979,United States of America,2026-07-02
429,1979,USSR (Union of Soviet Socialist Republics),2026-07-02
430,1979,Zambia,2026-07-02
431,1980,Bangladesh,2026-07-02
432,1980,China,2026-07-02
433,1980,France,2026-07-02
434,1980,German DR (German Democratic Republic),2026-07-02
435,1980,Jamaica,2026-07-02
436,1980,Mexico,2026-07-02
437,1980,Niger,2026-07-02
438,1980,Norway,2026-07-02
439,1980,Philippines,2026-07-02
440,1980,Portugal,2026-07-02
441,1980,Tunisia,2026-07-02
442,1980,United Kingdom of Great Britain and Northern Ireland,2026-07-02
443,1980,United States of America,2026-07-02
444,1980,USSR (Union of Soviet Socialist Republics),2026-07-02
445,1980,Zambia,2026-07-02
446,1981,China,2026-07-02
447,1981,France,2026-07-02
448,1981,German DR (German Democratic Republic),2026-07-02
449,1981,Ireland,2026-07-02
450,1981,Japan,2026-07-02
451,1981,Mexico,2026-07-02
452,1981,Niger,2026-07-02
453,1981,Panama,2026-07-02
454,1981,Philippines,2026-07-02
455,1981,Spain,2026-07-02
456,1981,Tunisia,2026-07-02
