ISO3,Country,Year,Member.Type,unsc
CHL,Chile,2015,Non-Permanent,1
CHN,China,2015,Permanent,1
FRA,France,2015,Permanent,1
JOR,Jordan,2015,Non-Permanent,1
LTU,Lithuania,2015,Non-Permanent,1
MYS,Malaysia,2015,Non-Permanent,1
NZL,New Zealand,2015,Non-Permanent,1
NGA,Nigeria,2015,Non-Permanent,1
ESP,Spain,2015,Non-Permanent,1
AGO,Angola,2016,Non-Permanent,1
CHN,China,2016,Permanent,1
EGY,Egypt,2016,Non-Permanent,1
FRA,France,2016,Permanent,1
JPN,Japan,2016,Non-Permanent,1
MYS,Malaysia,2016,Non-Permanent,1
NZL,New Zealand,2016,Non-Permanent,1
SEN,Senegal,2016,Non-Permanent,1
ESP,Spain,2016,Non-Permanent,1
UKR,Ukraine,2016,Non-Permanent,1
URY,Uruguay,2016,Non-Permanent,1
CHN,China,2017,Permanent,1
EGY,Egypt,2017,Non-Permanent,1
ETH,Ethiopia,2017,Non-Permanent,1
FRA,France,2017,Permanent,1
ITA,Italy,2017,Non-Permanent,1
JPN,Japan,2017,Non-Permanent,1
KAZ,Kazakhstan,2017,Non-Permanent,1
SEN,Senegal,2017,Non-Permanent,1
SWE,Sweden,2017,Non-Permanent,1
UKR,Ukraine,2017,Non-Permanent,1
URY,Uruguay,2017,Non-Permanent,1
CHN,China,2018,Permanent,1
AIA,,2018,Non-Permanent,1
ALA,,2018,Non-Permanent,1
,,2018,Non-Permanent,1
ATA,,2018,Non-Permanent,1
ATF,,2018,Non-Permanent,1
BES,,2018,Non-Permanent,1
BLM,,2018,Non-Permanent,1
BVT,,2018,Non-Permanent,1
CCK,,2018,Non-Permanent,1
COK,,2018,Non-Permanent,1
CXR,,2018,Non-Permanent,1
ESH,,2018,Non-Permanent,1
FLK,,2018,Non-Permanent,1
GGY,,2018,Non-Permanent,1
GLP,,2018,Non-Permanent,1
GUF,,2018,Non-Permanent,1
HMD,,2018,Non-Permanent,1
IOT,,2018,Non-Permanent,1
JEY,,2018,Non-Permanent,1
MSR,,2018,Non-Permanent,1
MTQ,,2018,Non-Permanent,1
MYT,,2018,Non-Permanent,1
NFK,,2018,Non-Permanent,1
NIU,,2018,Non-Permanent,1
PCN,,2018,Non-Permanent,1
REU,,2018,Non-Permanent,1
SGS,,2018,Non-Permanent,1
SHN,,2018,Non-Permanent,1
SHN,,2018,Non-Permanent,1
SJM,,2018,Non-Permanent,1
SPM,,2018,Non-Permanent,1
TKL,,2018,Non-Permanent,1
TWN,,2018,Non-Permanent,1
UMI,,2018,Non-Permanent,1
VAT,,2018,Non-Permanent,1
WLF,,2018,Non-Permanent,1
GNQ,Equatorial Guinea,2018,Non-Permanent,1
ETH,Ethiopia,2018,Non-Permanent,1
FRA,France,2018,Permanent,1
KAZ,Kazakhstan,2018,Non-Permanent,1
KWT,Kuwait,2018,Non-Permanent,1
NLD,Netherlands,2018,Non-Permanent,1
PER,Peru,2018,Non-Permanent,1
POL,Poland,2018,Non-Permanent,1
SWE,Sweden,2018,Non-Permanent,1
BEL,Belgium,2019,Non-Permanent,1
CHN,China,2019,Permanent,1
AIA,,2019,Non-Permanent,1
ALA,,2019,Non-Permanent,1
,,2019,Non-Permanent,1
ATA,,2019,Non-Permanent,1
ATF,,2019,Non-Permanent,1
BES,,2019,Non-Permanent,1
BLM,,2019,Non-Permanent,1
BVT,,2019,Non-Permanent,1
CCK,,2019,Non-Permanent,1
COK,,2019,Non-Permanent,1
CXR,,2019,Non-Permanent,1
ESH,,2019,Non-Permanent,1
FLK,,2019,Non-Permanent,1
GGY,,2019,Non-Permanent,1
GLP,,2019,Non-Permanent,1
GUF,,2019,Non-Permanent,1
HMD,,2019,Non-Permanent,1
IOT,,2019,Non-Permanent,1
JEY,,2019,Non-Permanent,1
MSR,,2019,Non-Permanent,1
MTQ,,2019,Non-Permanent,1
MYT,,2019,Non-Permanent,1
NFK,,2019,Non-Permanent,1
NIU,,2019,Non-Permanent,1
PCN,,2019,Non-Permanent,1
REU,,2019,Non-Permanent,1
SGS,,2019,Non-Permanent,1
SHN,,2019,Non-Permanent,1
SHN,,2019,Non-Permanent,1
SJM,,2019,Non-Permanent,1
SPM,,2019,Non-Permanent,1
TKL,,2019,Non-Permanent,1
TWN,,2019,Non-Permanent,1
UMI,,2019,Non-Permanent,1
VAT,,2019,Non-Permanent,1
WLF,,2019,Non-Permanent,1
DOM,Dominican Republic,2019,Non-Permanent,1
GNQ,Equatorial Guinea,2019,Non-Permanent,1
FRA,France,2019,Permanent,1
DEU,Germany,2019,Non-Permanent,1
IDN,Indonesia,2019,Non-Permanent,1
KWT,Kuwait,2019,Non-Permanent,1
PER,Peru,2019,Non-Permanent,1
POL,Poland,2019,Non-Permanent,1
ZAF,South Africa,2019,Non-Permanent,1
BEL,Belgium,2020,Non-Permanent,1
CHN,China,2020,Permanent,1
DOM,Dominican Republic,2020,Non-Permanent,1
EST,Estonia,2020,Non-Permanent,1
FRA,France,2020,Permanent,1
DEU,Germany,2020,Non-Permanent,1
IDN,Indonesia,2020,Non-Permanent,1
NER,Niger,2020,Non-Permanent,1
ZAF,South Africa,2020,Non-Permanent,1
TUN,Tunisia,2020,Non-Permanent,1
CHN,China,2021,Permanent,1
EST,Estonia,2021,Non-Permanent,1
FRA,France,2021,Permanent,1
IND,India,2021,Non-Permanent,1
IRL,Ireland,2021,Non-Permanent,1
KEN,Kenya,2021,Non-Permanent,1
MEX,Mexico,2021,Non-Permanent,1
NER,Niger,2021,Non-Permanent,1
NOR,Norway,2021,Non-Permanent,1
TUN,Tunisia,2021,Non-Permanent,1
CHN,China,2022,Permanent,1
FRA,France,2022,Permanent,1
IND,India,2022,Non-Permanent,1
IRL,Ireland,2022,Non-Permanent,1
KEN,Kenya,2022,Non-Permanent,1
MEX,Mexico,2022,Non-Permanent,1
NOR,Norway,2022,Non-Permanent,1
ARE,United Arab Emirates,2022,Non-Permanent,1
BRA,Brazil,2022,Non-Permanent,1
GAB,Gabon,2022,Non-Permanent,1
GHA,Ghana,2022,Non-Permanent,1
ALB,Albania,2022,Non-Permanent,1
ALB,Albania,2023,Non-Permanent,1
BRA,Brazil,2023,Non-Permanent,1
GAB,Gabon,2023,Non-Permanent,1
GHA,Ghana,2023,Non-Permanent,1
ARE,United Arab Emirates,2023,Non-Permanent,1
FRA,France,2023,Permanent,1
CHN,China,2023,Permanent,1
ECU,Ecuador,2023,Non-Permanent,1
JPN,Japan,2023,Non-Permanent,1
MLT,Malta,2023,Non-Permanent,1
MOZ,Mozambique,2023,Non-Permanent,1
CHE,Switzerland,2023,Non-Permanent,1
DZA,Algeria,2024,Non-Permanent,1
GUY,Guyana,2024,Non-Permanent,1
SLE,Sierra Leone,2024,Non-Permanent,1
SVN,Slovenia,2024,Non-Permanent,1
CHN,China,2024,Permanent,1
FRA,France,2024,Permanent,1
MOZ,Mozambique,2024,Non-Permanent,1
ECU,Ecuador,2024,Non-Permanent,1
JPN,Japan,2024,Non-Permanent,1
MLT,Malta,2024,Non-Permanent,1
CHE,Switzerland,2024,Non-Permanent,1
DZA,Algeria,2025,Non-Permanent,1
CHN,China,2025,Permanent,1
DNK,Denmark,2025,Non-Permanent,1
FRA,France,2025,Permanent,1
GRC,Greece,2025,Non-Permanent,1
GUY,Guyana,2025,Non-Permanent,1
PAK,Pakistan,2025,Non-Permanent,1
PAN,Panama,2025,Non-Permanent,1
SLE,Sierra Leone,2025,Non-Permanent,1
SVN,Slovenia,2025,Non-Permanent,1
SOM,Somalia,2025,Non-Permanent,1
