"ISO3","year","unsc","unsc_t1","unsc3"
"OMN",1947,0,0,0
"PAK",1947,0,0,0
"PAN",1947,0,0,0
"PRY",1947,0,0,0
"PER",1947,0,0,0
"PHL",1947,0,0,0
"POL",1947,1,1,1
"PRT",1947,0,0,0
"QAT",1947,0,0,0
"ROU",1947,0,0,0
"RUS",1947,0,0,0
"RWA",1947,0,0,0
"SEN",1947,0,0,0
"SLE",1947,0,0,0
"SGP",1947,0,0,0
"SVN",1947,0,0,0
"ZAF",1947,0,0,0
"ESP",1947,0,0,0
"LKA",1947,0,0,0
"SDN",1947,0,0,0
"SWE",1947,0,0,0
"CHE",1947,0,0,0
"SYR",1947,1,0,1
"THA",1947,0,0,0
"TGO",1947,0,0,0
"TTO",1947,0,0,0
"TUN",1947,0,0,0
"UGA",1947,0,0,0
"UKR",1947,0,0,0
"ARE",1947,0,0,0
"URY",1947,0,0,0
"VNM",1947,0,0,0
"ZMB",1947,0,0,0
"ZWE",1947,0,0,0
"ALB",1948,0,0,0
"DZA",1948,0,0,0
"AGO",1948,0,0,0
"ARG",1948,1,0,1
"AUS",1948,0,1,1
"AUT",1948,0,0,0
"AZE",1948,0,0,0
"BHR",1948,0,0,0
"BGD",1948,0,0,0
"BLR",1948,0,0,0
"BEL",1948,1,1,1
"BEN",1948,0,0,0
"BIH",1948,0,0,0
"BWA",1948,0,0,0
"BRA",1948,0,1,1
"BGR",1948,0,0,0
"BFA",1948,0,0,0
"BDI",1948,0,0,0
"CPV",1948,0,0,0
"CMR",1948,0,0,0
"CAN",1948,1,0,1
"TCD",1948,0,0,0
"CHL",1948,0,0,0
"CHN",1948,1,1,1
"COL",1948,1,1,1
"CRI",1948,0,0,0
"HRV",1948,0,0,0
"CUB",1948,0,0,0
"CZE",1948,0,0,0
"DNK",1948,0,0,0
"DJI",1948,0,0,0
"DOM",1948,0,0,0
"ECU",1948,0,0,0
"GNQ",1948,0,0,0
"EST",1948,0,0,0
"ETH",1948,0,0,0
"FIN",1948,0,0,0
"FRA",1948,1,1,1
"GAB",1948,0,0,0
"DEU",1948,0,0,0
"GHA",1948,0,0,0
"GRC",1948,0,0,0
"GTM",1948,0,0,0
"GIN",1948,0,0,0
"GNB",1948,0,0,0
"GUY",1948,0,0,0
"HND",1948,0,0,0
"HUN",1948,0,0,0
"IND",1948,0,0,0
"IDN",1948,0,0,0
"IRQ",1948,0,0,0
"IRL",1948,0,0,0
"ITA",1948,0,0,0
"JAM",1948,0,0,0
"JPN",1948,0,0,0
"JOR",1948,0,0,0
"KAZ",1948,0,0,0
"KEN",1948,0,0,0
"KWT",1948,0,0,0
"LVA",1948,0,0,0
"LBN",1948,0,0,0
"LBR",1948,0,0,0
"LBY",1948,0,0,0
"LTU",1948,0,0,0
"LUX",1948,0,0,0
"MDG",1948,0,0,0
"MYS",1948,0,0,0
"MLI",1948,0,0,0
"MLT",1948,0,0,0
"MRT",1948,0,0,0
"MUS",1948,0,0,0
"MEX",1948,0,0,0
"MAR",1948,0,0,0
"MOZ",1948,0,0,0
"NAM",1948,0,0,0
"NPL",1948,0,0,0
"NLD",1948,0,0,0
"NZL",1948,0,0,0
"NIC",1948,0,0,0
"NER",1948,0,0,0
"NGA",1948,0,0,0
"NOR",1948,0,0,0
"OMN",1948,0,0,0
"PAK",1948,0,0,0
