Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,Africa Eastern and Southern,AFE,9.25855714577765,9.41700376941651,10.2586355059809,9.5544087833447,8.05887913918278,9.72718870364484,10.159963302837,26.9462800392534,26.4563198630072,27.3579146243197,27.1119407233992,27.8301140557451,27.0101380459069,25.8823503516806,27.2032230472005,24.9193367162874,23.7499723196979,25.325805833371,24.868595773782,24.8616511267977,23.3440112274734,23.7112812835952,27.0051029133426,25.4045423555971,27.4727798748792,..
Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,Africa Western and Central,AFW,64.2825645326027,62.8924045808753,65.7572568417322,61.6800349603521,..,..,66.2847951150019,63.3881834361039,61.1658816129059,60.2885592712719,58.1250599313802,61.5610811318002,60.33667241418,60.8801930729107,59.795509881098,53.7920713333834,53.5833864569626,60.5046831729889,63.5423307004518,61.2498142905769,61.9257629001207,57.4018443066563,63.249762181284,61.5557212451894,..,..
Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,Arab World,ARB,84.7661784457732,84.4706370351967,71.1731585006202,67.3781484370273,71.6622649606191,71.9829481681375,75.8966764858011,76.3031032280954,75.7234321877832,65.6520007355962,69.715687934463,70.9039610957859,66.4269018975951,70.9308263552376,68.4649679956426,60.6466173525266,58.629152566523,58.4236829733023,69.7721149122375,73.5847924369904,66.9447590997182,67.7079874979293,71.254517473997,68.4700797161684,..,..
Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,Caribbean small states,CSS,45.5804445081665,37.6902857656171,43.7256124824854,47.9215202169013,42.4219727721232,50.9368091359385,54.6105054577135,47.9849190244398,51.5630032456198,56.4233037091253,48.5200470855784,43.7769534271274,41.9158666318455,46.0809257855265,43.442383928756,34.6769852306988,30.272575686909,38.3077988036701,39.1958074589595,31.6363224580257,24.6184143604145,22.5065480792741,28.0071117907241,26.4180054716626,29.7098620250142,..
Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,Central Europe and the Baltics,CEB,5.21144980920977,5.19014145311855,5.04620351050839,4.41089053875304,5.2573782947758,5.9239326185864,5.69082635997707,4.60400767579909,5.56542154397194,4.79690108376975,5.45624835507118,6.12018250605468,6.30514622889069,5.70682545904161,5.13590631236482,4.37315029573183,3.41007674997846,3.68336723319741,3.67963313187625,3.38927536978547,2.33277994596178,3.38271785763069,5.8293639908054,4.05004788658402,3.87172222688338,..
Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,Early-demographic dividend,EAR,25.4562489988361,25.096679701696,24.5585892796182,25.7421464470579,26.3309475934648,28.30937945459,29.4137740580645,26.1499527283916,28.4763059188266,25.9579929654036,28.3117557547665,28.7252002555103,27.0397476958579,28.6348163947053,25.9960522426803,20.8566627540462,20.3728533394371,21.8855191881491,21.5722228699689,19.8763092755371,16.4567474417083,19.2657608399646,22.4793297009198,20.2401876836183,18.7234391258323,..
Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,East Asia & Pacific,EAS,5.06983240018491,5.09282624525421,4.63051314984023,4.70545783728553,5.06351216872817,5.69928959345234,5.71991754779196,5.66972712880281,7.25835554675222,6.00349279459165,6.08598500365429,6.83124728280007,6.67524811212471,6.49766961247711,6.29056371676652,4.99420054505815,4.44160133155488,5.05571997823972,5.6314792677999,5.3622428111629,3.70219087009743,4.43258450650976,6.15475953488205,5.61604167692969,5.06364585603571,..
Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,East Asia & Pacific (excluding high income),EAP,5.89981966627134,5.69846514726877,5.03150943770691,5.13755088615606,5.38704461127215,5.63912550235176,5.28901790608619,4.93936778001874,5.84065551671604,4.79746548655327,4.81300479222916,5.24256690820966,5.16947803153816,5.17335794672236,4.8686599604543,3.74766116594335,3.26704623340959,3.7956573652299,4.11322395096016,3.94207644830235,2.89619033740158,3.30379968763629,4.27107517257966,4.14987491533595,3.59190373504255,..
Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,East Asia & Pacific (IDA & IBRD countries),TEA,5.89981966627134,5.69846514726877,5.03150943770691,5.13755088615606,5.38704461127215,5.63912550235176,5.28901790608619,4.93936778001874,5.84065551671604,4.79746548655328,4.81300479222916,5.24256690820966,5.1694682243189,5.17335794672236,4.8686599604543,3.74766116594335,3.26703998785592,3.79565088335693,4.11322395096016,3.94207644830235,2.89619033740158,3.30379968763629,4.27107517257966,4.14987491533595,3.59190373504255,..
Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,Euro area,EMU,3.45759489815303,2.99553834437699,2.83403108768052,3.06346267820969,3.46737822892264,4.36171448973061,4.86441977980733,4.50015251215184,5.65465181816153,4.43678726297768,5.30279165328731,6.27639207668444,6.82389155400954,6.63950190126128,5.98473745649617,4.86687214402331,4.01233304614906,4.6431630314894,5.05976480235966,4.79643639519824,3.44806132887159,4.84728384297905,7.91937347655511,6.31708140052387,5.64058301847827,..
